Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40075384,"""40075384""","(Apple - Red Delicious, Economy)fresho![1x4]{pcs}<176.71>",fresho!,4,pc,1,4,pcs,176.71,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40075384_12-fresho-apple-red-delicious-economy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40075384_12-fresho-apple-red-delicious-economy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40075384_12-fresho-apple-red-delicious-economy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40075384-2_4-fresho-apple-red-delicious-economy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40075384-2_4-fresho-apple-red-delicious-economy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40075384-2_4-fresho-apple-red-delicious-economy.jpg'}]"
40134281,"""40134281""",(Baby Apple Shimla)fresho![1x1]{kg}<264.38>,fresho!,1000,g,1,1,kg,264.38,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,"[{'id': '40134282', 'desc': 'Baby Apple', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/40134282/fresho-baby-apple-500-g/', 'unit': 'g', 'usp': 'Rich in Vitamin C, Dietary Fibre', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '171.23', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '125', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.25', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '125', 'camp_detail': {'c': [1406111], 'c_f': 46.23, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40134282_4-fresho-baby-apple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134282_4-fresho-baby-apple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134282_4-fresho-baby-apple.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40134282-2_1-fresho-baby-apple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134282-2_1-fresho-baby-apple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134282-2_1-fresho-baby-apple.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Apples & Pomegranate', 'llc_slug': 'type=pc&slug=apples-pomegranate', 'llc_id': 1684}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1222189]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 40134281}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '40134282', 'parent_info': {'id': 239974, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 40134281, 'child_id': 40134282, 'is_default': 0, 'type': 1, 'created_by_id': 517, 'updated_by_id': 517, 'created_on': '2018-08-28 10:53:24', 'updated_on': '2018-08-28 10:53:24'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40134281_16-fresho-baby-apple-shimla.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134281_16-fresho-baby-apple-shimla.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134281_16-fresho-baby-apple-shimla.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40134281-2_2-fresho-baby-apple-shimla.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134281-2_2-fresho-baby-apple-shimla.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134281-2_2-fresho-baby-apple-shimla.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40134281-3_1-fresho-baby-apple-shimla.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134281-3_1-fresho-baby-apple-shimla.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134281-3_1-fresho-baby-apple-shimla.jpg'}]"
40120006,"""896010261078""",(Pomegranate - Regular)fresho![1x1]{kg}<265.75>,fresho!,1000,g,1,1,kg,265.75,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40120006_6-fresho-pomegranate-small.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120006_6-fresho-pomegranate-small.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120006_6-fresho-pomegranate-small.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40120006-2_1-fresho-pomegranate-small.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120006-2_1-fresho-pomegranate-small.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120006-2_1-fresho-pomegranate-small.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40120006-3_1-fresho-pomegranate-small.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120006-3_1-fresho-pomegranate-small.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120006-3_1-fresho-pomegranate-small.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40120006-4_1-fresho-pomegranate-small.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120006-4_1-fresho-pomegranate-small.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120006-4_1-fresho-pomegranate-small.jpg'}]"
10000005,"""10000005""",(Apple - Royal Gala Economy)fresho![1x4]{pcs}<256.16>,fresho!,4,pc,1,4,pcs,256.16,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,"[{'id': '10000006', 'desc': 'Apple - Royal Gala', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/10000006/fresho-apple-royal-gala-500-g/', 'unit': 'g', 'usp': 'Rich in Vitamin C, Dietary Fibre', 'availability': {'avail_status': '010', 'label': 'We are currently not delivering this', 'display_mrp': True, 'display_sp': False, 'not_for_sale': False, 'button': 'Notify Me', 'show_express': False}, 'pricing': {'discount': {'mrp': '12', 'mrp_per_pack': None, 'd_text': '20% OFF', 'd_avail': 'true', 'prim_price': {'sp': '9.6', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.02', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '9.6', 'camp_detail': {'c': [730149], 'c_f': 2.4, 'd_t': 'percent', 'd_v': 20, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [730149], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000006_19-fresho-apple-royal-gala.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000006_19-fresho-apple-royal-gala.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000006_19-fresho-apple-royal-gala.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000006-2_11-fresho-apple-royal-gala.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000006-2_11-fresho-apple-royal-gala.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000006-2_11-fresho-apple-royal-gala.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000006-3_10-fresho-apple-royal-gala.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000006-3_10-fresho-apple-royal-gala.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000006-3_10-fresho-apple-royal-gala.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000006-4_1-fresho-apple-royal-gala.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000006-4_1-fresho-apple-royal-gala.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000006-4_1-fresho-apple-royal-gala.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000006-5_1-fresho-apple-royal-gala.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000006-5_1-fresho-apple-royal-gala.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000006-5_1-fresho-apple-royal-gala.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Apples & Pomegranate', 'llc_slug': 'type=pc&slug=apples-pomegranate', 'llc_id': 1684}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 10000005}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '10000006', 'parent_info': {'id': 217401, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 10000005, 'child_id': 10000006, 'is_default': 0, 'type': 1, 'created_by_id': 22976, 'updated_by_id': 22976, 'created_on': '2017-10-18 15:20:57', 'updated_on': '2017-10-18 15:20:57'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000005_28-fresho-apple-royal-gala-economy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000005_28-fresho-apple-royal-gala-economy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000005_28-fresho-apple-royal-gala-economy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000005-2_1-fresho-apple-royal-gala-economy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000005-2_1-fresho-apple-royal-gala-economy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000005-2_1-fresho-apple-royal-gala-economy.jpg'}]"
10000269,"""10000269""",(Pomegranate)fresho![1x4]{pcs}<230.14>,fresho!,4,pc,1,4,pcs,230.14,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000269_32-fresho-pomegranate.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000269_32-fresho-pomegranate.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000269_32-fresho-pomegranate.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000269-2_2-fresho-pomegranate.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000269-2_2-fresho-pomegranate.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000269-2_2-fresho-pomegranate.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000269-3_3-fresho-pomegranate.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000269-3_3-fresho-pomegranate.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000269-3_3-fresho-pomegranate.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000269-4_2-fresho-pomegranate.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000269-4_2-fresho-pomegranate.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000269-4_2-fresho-pomegranate.jpg'}]"
40128384,"""40128384""",(Apple - Pink Lady)fresho![1x4]{pcs}<269.86>,fresho!,4,pc,1,4,pcs,269.86,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40128384_4-fresho-apple-pink-lady.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40128384_4-fresho-apple-pink-lady.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40128384_4-fresho-apple-pink-lady.jpg'}]"
10000156,"""10000156""",(Pineapple)fresho![1x1]{pc}<104.11>,fresho!,1,pc,1,1,pc,104.11,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000156_24-fresho-pineapple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000156_24-fresho-pineapple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000156_24-fresho-pineapple.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000156-2_26-fresho-pineapple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000156-2_26-fresho-pineapple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000156-2_26-fresho-pineapple.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000156-3_3-fresho-pineapple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000156-3_3-fresho-pineapple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000156-3_3-fresho-pineapple.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000156-4_2-fresho-pineapple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000156-4_2-fresho-pineapple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000156-4_2-fresho-pineapple.jpg'}]"
40079955,"""40079955""",(Pomegranate - Premium)fresho![1x2]{pcs}<121.92>,fresho!,2,pc,1,2,pcs,121.92,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40079955_5-fresho-pomegranate-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40079955_5-fresho-pomegranate-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40079955_5-fresho-pomegranate-premium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40079955-2_1-fresho-pomegranate-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40079955-2_1-fresho-pomegranate-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40079955-2_1-fresho-pomegranate-premium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40079955-3_1-fresho-pomegranate-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40079955-3_1-fresho-pomegranate-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40079955-3_1-fresho-pomegranate-premium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40079955-4_1-fresho-pomegranate-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40079955-4_1-fresho-pomegranate-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40079955-4_1-fresho-pomegranate-premium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40079955-5_1-fresho-pomegranate-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40079955-5_1-fresho-pomegranate-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40079955-5_1-fresho-pomegranate-premium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40079955-6_1-fresho-pomegranate-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40079955-6_1-fresho-pomegranate-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40079955-6_1-fresho-pomegranate-premium.jpg'}]"
40083738,"""40083738""",(Plum - Imported)fresho![1x4]{pcs}<245.21>,fresho!,4,pc,1,4,pcs,245.21,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40083738_1-fresho-plum-imported.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40083738_1-fresho-plum-imported.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40083738_1-fresho-plum-imported.jpg'}]"
40204132,"""40204132""","(Apple - Washington, Premium)fresho![1x4]{pcs}<301.37>",fresho!,4,pc,1,4,pcs,301.37,Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40204132_4-fresho-apple-washington-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40204132_4-fresho-apple-washington-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40204132_4-fresho-apple-washington-premium.jpg'}]"
