Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40322037,"""40322037""",(10 Stems Of Orchids + Fillers Bouquet)The Floral Portrait[1x1]{pc}<397.26>,The Floral Portrait,1,pc,1,1,pc,397.26,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322037_3-the-floral-portrait-10-stems-of-orchids-fillers-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322037_3-the-floral-portrait-10-stems-of-orchids-fillers-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322037_3-the-floral-portrait-10-stems-of-orchids-fillers-bouquet.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322037-2_3-the-floral-portrait-10-stems-of-orchids-fillers-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322037-2_3-the-floral-portrait-10-stems-of-orchids-fillers-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322037-2_3-the-floral-portrait-10-stems-of-orchids-fillers-bouquet.jpg'}]"
40322030,"""40322030""",(5 Roses Bouquet - Pink)The Floral Portrait[1x1]{pc}<246.58>,The Floral Portrait,1,pc,1,1,pc,246.58,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322030_2-the-floral-portrait-5-roses-bouquet-pink.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322030_2-the-floral-portrait-5-roses-bouquet-pink.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322030_2-the-floral-portrait-5-roses-bouquet-pink.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322030-2_2-the-floral-portrait-5-roses-bouquet-pink.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322030-2_2-the-floral-portrait-5-roses-bouquet-pink.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322030-2_2-the-floral-portrait-5-roses-bouquet-pink.jpg'}]"
40322026,"""40322026""",(5 Gerberas Bouquet - Red)The Floral Portrait[1x1]{pc}<126.03>,The Floral Portrait,1,pc,1,1,pc,126.03,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322026_3-the-floral-portrait-5-gerberas-bouquet-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322026_3-the-floral-portrait-5-gerberas-bouquet-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322026_3-the-floral-portrait-5-gerberas-bouquet-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322026-2_3-the-floral-portrait-5-gerberas-bouquet-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322026-2_3-the-floral-portrait-5-gerberas-bouquet-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322026-2_3-the-floral-portrait-5-gerberas-bouquet-red.jpg'}]"
40323323,"""40323323""",(6 Red Roses Bouquet)Hoovu Fresh[1x1]{pc}<250.68>,Hoovu Fresh,1,pc,1,1,pc,250.68,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323323_1-hoovu-fresh-6-red-roses-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323323_1-hoovu-fresh-6-red-roses-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323323_1-hoovu-fresh-6-red-roses-bouquet.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323323-2_1-hoovu-fresh-6-red-roses-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323323-2_1-hoovu-fresh-6-red-roses-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323323-2_1-hoovu-fresh-6-red-roses-bouquet.jpg'}]"
40322034,"""40322034""",(10 Red Roses Bouquet With Stems)The Floral Portrait[1x1]{pc}<484.93>,The Floral Portrait,1,pc,1,1,pc,484.93,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322034_3-the-floral-portrait-10-red-roses-bouquet-with-stems.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322034_3-the-floral-portrait-10-red-roses-bouquet-with-stems.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322034_3-the-floral-portrait-10-red-roses-bouquet-with-stems.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322034-2_3-the-floral-portrait-10-red-roses-bouquet-with-stems.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322034-2_3-the-floral-portrait-10-red-roses-bouquet-with-stems.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322034-2_3-the-floral-portrait-10-red-roses-bouquet-with-stems.jpg'}]"
20005421,"""20005421""",(Rose - Red Flower)fresho![1x1]{pc}<36.99>,fresho!,1,pc,1,1,pc,36.99,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20005421_3-fresho-rose-red-flower.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20005421_3-fresho-rose-red-flower.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20005421_3-fresho-rose-red-flower.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20005421-2_1-fresho-rose-red-flower.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20005421-2_1-fresho-rose-red-flower.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20005421-2_1-fresho-rose-red-flower.jpg'}]"
40322038,"""40322038""",(5 Sunflowers Bouquet)The Floral Portrait[1x1]{pc}<720.55>,The Floral Portrait,1,pc,1,1,pc,720.55,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322038_3-the-floral-portrait-5-sunflowers-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322038_3-the-floral-portrait-5-sunflowers-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322038_3-the-floral-portrait-5-sunflowers-bouquet.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322038-2_2-the-floral-portrait-5-sunflowers-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322038-2_2-the-floral-portrait-5-sunflowers-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322038-2_2-the-floral-portrait-5-sunflowers-bouquet.jpg'}]"
40201307,"""40201307""",(White Orchids)fresho![1x10]{pcs}<884.93>,fresho!,10,pc,1,10,pcs,884.93,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40201307_1-fresho-white-orchids.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40201307_1-fresho-white-orchids.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40201307_1-fresho-white-orchids.jpg'}]"
40234328,"""40234328""","(Designers Choice Bouquet Surprise Box - Without Vase, Farm Fresh)Shades of Spring[1x1]{Pc}<899>",Shades of Spring,1,pc,1,1,Pc,899.0,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40234328_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234328_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234328_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234328-2_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234328-2_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234328-2_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg'}]"
40321588,"""40321588""",(10 Colour Roses Bouquet)IGP[1x1]{pc}<449>,IGP,1,pc,1,1,pc,449.0,Fruits & Vegetables,"Flower Bouquets, Bunches",Bouquets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40321588_1-igp-10-colour-roses-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40321588_1-igp-10-colour-roses-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40321588_1-igp-10-colour-roses-bouquet.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40321588-2_1-igp-10-colour-roses-bouquet.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40321588-2_1-igp-10-colour-roses-bouquet.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40321588-2_1-igp-10-colour-roses-bouquet.jpg'}]"
