Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
20006455,"""200064550000""",(Jackfruit - Peeled)fresho![1x250]{g}<101.37>,fresho!,250,g,1,250,g,101.37,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20006455_2-fresho-jackfruit-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20006455_2-fresho-jackfruit-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20006455_2-fresho-jackfruit-peeled.jpg'}]"
40057966,"""890425670065""",(Tender Coconut)fresho![1x1]{pc}<79.45>,fresho!,1,pc,1,1,pc,79.45,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40057966_7-fresho-tender-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40057966_7-fresho-tender-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40057966_7-fresho-tender-coconut-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40057966-2_1-fresho-tender-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40057966-2_1-fresho-tender-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40057966-2_1-fresho-tender-coconut-medium.jpg'}]"
40272798,"""40272798""",(Tender Coconut - Premium)fresho![1x1]{pc}<98.63>,fresho!,1,pc,1,1,pc,98.63,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40272798_6-fresho-tender-coconut-premium-king-coconut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40272798_6-fresho-tender-coconut-premium-king-coconut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40272798_6-fresho-tender-coconut-premium-king-coconut.jpg'}]"
40097808,"""40097808""",(Pomegranate - Peeled)fresho![1x500]{g}<271.23>,fresho!,500,g,1,500,g,271.23,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut","[{'id': '40005823', 'desc': 'Pomegranate - Peeled', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '200', 'w': '200 g', 'absolute_url': '/pd/40005823/fresho-pomegranate-peeled-200-g/', 'unit': 'g', 'usp': 'No Preservatives', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '150.68', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '110', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.55', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '110', 'camp_detail': {'c': [1404957], 'c_f': 40.68, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1404957], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40005823_7-fresho-pomegranate-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40005823_7-fresho-pomegranate-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40005823_7-fresho-pomegranate-peeled.jpg'}], 'variable_weight': None, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Cuts & Sprouts', 'mlc_slug': 'cuts-sprouts', 'mlc_id': 1332, 'llc_name': 'Cut Fruit, Tender Coconut', 'llc_slug': 'type=pc&slug=cut-fruit-tender-coconut', 'llc_id': 1677}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1202745]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 40097808}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'parent_info': {'id': 223980, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 40097808, 'child_id': 40005823, 'is_default': 0, 'type': 1, 'created_by_id': 22976, 'updated_by_id': 22976, 'created_on': '2018-01-02 10:36:16', 'updated_on': '2018-01-02 10:36:16'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40097808_2-fresho-pomegranate-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40097808_2-fresho-pomegranate-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40097808_2-fresho-pomegranate-peeled.jpg'}]"
40073760,"""8904256706056""",(Tender Coconut - Small)fresho![1x1]{pc}<120.55>,fresho!,1,pc,1,1,pc,120.55,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40073760_4-fresho-tender-coconut-small.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40073760_4-fresho-tender-coconut-small.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40073760_4-fresho-tender-coconut-small.jpg'}]"
40019380,"""40019380""",(Papaya- Diced)fresho![1x200]{g}<65.75>,fresho!,200,g,1,200,g,65.75,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40019380_4-fresho-papaya-diced.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40019380_4-fresho-papaya-diced.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40019380_4-fresho-papaya-diced.jpg'}]"
40235522,"""40235522""","(Pineapple - Slices, Round)fresho![1x400]{g}<153.42>",fresho!,400,g,1,400,g,153.42,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40235522_1-fresho-pineapple-slices-round.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235522_1-fresho-pineapple-slices-round.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235522_1-fresho-pineapple-slices-round.jpg'}]"
40090775,"""40090775""",(Pineapple - Slices)fresho![1x200]{g}<68.49>,fresho!,200,g,1,200,g,68.49,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40090775_3-fresho-pineapple-slices.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40090775_3-fresho-pineapple-slices.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40090775_3-fresho-pineapple-slices.jpg'}]"
40119401,"""40119401""","(Pomegranate - Single Serve, Peeled)fresho![1x80]{g}<78.08>",fresho!,80,g,1,80,g,78.08,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40119401_5-fresho-pomegranate-single-serve-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119401_5-fresho-pomegranate-single-serve-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119401_5-fresho-pomegranate-single-serve-peeled.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119401-2_3-fresho-pomegranate-single-serve-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119401-2_3-fresho-pomegranate-single-serve-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119401-2_3-fresho-pomegranate-single-serve-peeled.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119401-3_3-fresho-pomegranate-single-serve-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119401-3_3-fresho-pomegranate-single-serve-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119401-3_3-fresho-pomegranate-single-serve-peeled.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119401-4_3-fresho-pomegranate-single-serve-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119401-4_3-fresho-pomegranate-single-serve-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119401-4_3-fresho-pomegranate-single-serve-peeled.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119401-5_3-fresho-pomegranate-single-serve-peeled.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119401-5_3-fresho-pomegranate-single-serve-peeled.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119401-5_3-fresho-pomegranate-single-serve-peeled.jpg'}]"
40018977,"""40018977""",(Sugarcane - Diced)fresho![1x200]{g}<39.73>,fresho!,200,g,1,200,g,39.73,Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40018977_9-fresho-sugarcane-diced.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40018977_9-fresho-sugarcane-diced.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40018977_9-fresho-sugarcane-diced.jpg'}]"
