Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40292148,"""8904256728461""",(Organic Sprouts Mixed Gram)fresho![1x150]{g}<54.79>,fresho!,150,g,1,150,g,54.79,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148_2-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148_2-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148_2-fresho-organic-sprouts-mixed-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148-2_1-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148-2_1-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148-2_1-fresho-organic-sprouts-mixed-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148-3_1-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148-3_1-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148-3_1-fresho-organic-sprouts-mixed-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148-4_1-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148-4_1-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148-4_1-fresho-organic-sprouts-mixed-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148-5_1-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148-5_1-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148-5_1-fresho-organic-sprouts-mixed-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148-6_1-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148-6_1-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148-6_1-fresho-organic-sprouts-mixed-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292148-7_1-fresho-organic-sprouts-mixed-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292148-7_1-fresho-organic-sprouts-mixed-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292148-7_1-fresho-organic-sprouts-mixed-gram.jpg'}]"
40292145,"""8904256728430""",(Organic Sprouts Moong Green)fresho![1x150]{g}<60.27>,fresho!,150,g,1,150,g,60.27,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145_2-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145_2-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145_2-fresho-organic-sprouts-moong-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145-2_1-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145-2_1-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145-2_1-fresho-organic-sprouts-moong-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145-3_1-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145-3_1-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145-3_1-fresho-organic-sprouts-moong-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145-4_1-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145-4_1-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145-4_1-fresho-organic-sprouts-moong-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145-5_1-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145-5_1-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145-5_1-fresho-organic-sprouts-moong-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145-6_1-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145-6_1-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145-6_1-fresho-organic-sprouts-moong-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292145-7_1-fresho-organic-sprouts-moong-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292145-7_1-fresho-organic-sprouts-moong-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292145-7_1-fresho-organic-sprouts-moong-green.jpg'}]"
40292146,"""8904256728447""",(Organic Sprouts Channa Brown)fresho![1x150]{g}<34.25>,fresho!,150,g,1,150,g,34.25,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40292146_2-fresho-organic-sprouts-channa-brown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292146_2-fresho-organic-sprouts-channa-brown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292146_2-fresho-organic-sprouts-channa-brown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292146-2_1-fresho-organic-sprouts-channa-brown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292146-2_1-fresho-organic-sprouts-channa-brown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292146-2_1-fresho-organic-sprouts-channa-brown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292146-3_1-fresho-organic-sprouts-channa-brown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292146-3_1-fresho-organic-sprouts-channa-brown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292146-3_1-fresho-organic-sprouts-channa-brown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292146-4_1-fresho-organic-sprouts-channa-brown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292146-4_1-fresho-organic-sprouts-channa-brown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292146-4_1-fresho-organic-sprouts-channa-brown.jpg'}]"
40292147,"""8904256728454""",(Organic Sprouts Horse Gram)fresho![1x150]{g}<52.05>,fresho!,150,g,1,150,g,52.05,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40292147_2-fresho-organic-sprouts-horse-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292147_2-fresho-organic-sprouts-horse-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292147_2-fresho-organic-sprouts-horse-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292147-2_1-fresho-organic-sprouts-horse-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292147-2_1-fresho-organic-sprouts-horse-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292147-2_1-fresho-organic-sprouts-horse-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292147-3_1-fresho-organic-sprouts-horse-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292147-3_1-fresho-organic-sprouts-horse-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292147-3_1-fresho-organic-sprouts-horse-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292147-4_1-fresho-organic-sprouts-horse-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292147-4_1-fresho-organic-sprouts-horse-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292147-4_1-fresho-organic-sprouts-horse-gram.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40292147-5_1-fresho-organic-sprouts-horse-gram.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40292147-5_1-fresho-organic-sprouts-horse-gram.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40292147-5_1-fresho-organic-sprouts-horse-gram.jpg'}]"
30001465,"""30001465""",(Cut Indian Fruit Pack)fresho![1x400]{g}<109.59>,fresho!,400,g,1,400,g,109.59,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/30001465_13-fresho-cut-indian-fruit-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30001465_13-fresho-cut-indian-fruit-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30001465_13-fresho-cut-indian-fruit-pack.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30001465-2_4-fresho-cut-indian-fruit-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30001465-2_4-fresho-cut-indian-fruit-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30001465-2_4-fresho-cut-indian-fruit-pack.jpg'}]"
40020129,"""40020129""",(Green Salad)fresho![1x300]{g}<68.49>,fresho!,300,g,1,300,g,68.49,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40020129_8-fresho-green-salad.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40020129_8-fresho-green-salad.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40020129_8-fresho-green-salad.jpg'}]"
20005457,"""20005457""",(Cut - Fruit Salad)fresho![1x235]{g}<171.23>,fresho!,235,g,1,235,g,171.23,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20005457_4-fresho-cut-fruit-salad.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20005457_4-fresho-cut-fruit-salad.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20005457_4-fresho-cut-fruit-salad.jpg'}]"
20003617,"""20003617""",(Sprouts - Green Moong)fresho![1x150]{g}<86.3>,fresho!,150,g,1,150,g,86.3,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20003617_1-fresho-sprouts-green-moong.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20003617_1-fresho-sprouts-green-moong.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20003617_1-fresho-sprouts-green-moong.jpg'}]"
40119455,"""706502241117""",(Dehydrated Sprouts - Moth Bean)Brotos[1x80]{g}<59>,Brotos,80,g,1,80,g,59.0,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40119455_2-brotos-dehydrated-sprouts-moth-bean.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119455_2-brotos-dehydrated-sprouts-moth-bean.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119455_2-brotos-dehydrated-sprouts-moth-bean.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119455-2_1-brotos-dehydrated-sprouts-moth-bean.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119455-2_1-brotos-dehydrated-sprouts-moth-bean.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119455-2_1-brotos-dehydrated-sprouts-moth-bean.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119455-3_1-brotos-dehydrated-sprouts-moth-bean.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119455-3_1-brotos-dehydrated-sprouts-moth-bean.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119455-3_1-brotos-dehydrated-sprouts-moth-bean.jpg'}]"
40085574,"""40085574""","(Microgreens - Carrot, Living Plant)fresho![1x1]{pc}<12>",fresho!,1,pc,1,1,pc,12.0,Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40085574_1-fresho-microgreens-carrot-living-plant.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40085574_1-fresho-microgreens-carrot-living-plant.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40085574_1-fresho-microgreens-carrot-living-plant.jpg'}]"
