Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40140653,"""40140653""",(Gift Box - Apple Washington + Pomegranate + Green Pears Imported + Imported Avocado)fresho![1x12]{pcs}<623.75>,fresho!,12,pc,1,12,pcs,623.75,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40140653_2-fresho-gift-box-apple-washington-pomegranate-green-pears-imported-imported-avocado.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40140653_2-fresho-gift-box-apple-washington-pomegranate-green-pears-imported-imported-avocado.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40140653_2-fresho-gift-box-apple-washington-pomegranate-green-pears-imported-imported-avocado.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40140653-2_1-fresho-gift-box-apple-washington-pomegranate-green-pears-imported-imported-avocado.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40140653-2_1-fresho-gift-box-apple-washington-pomegranate-green-pears-imported-imported-avocado.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40140653-2_1-fresho-gift-box-apple-washington-pomegranate-green-pears-imported-imported-avocado.jpg'}]"
40117271,"""40117271""","(Gift Box - Kiwi Jumbo, Green)fresho![1x6]{pcs}<159>",fresho!,6,pc,1,6,pcs,159.0,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117271_1-fresho-gift-box-kiwi-jumbo-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117271_1-fresho-gift-box-kiwi-jumbo-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117271_1-fresho-gift-box-kiwi-jumbo-green.jpg'}]"
40117259,"""40117259""","(Gift Box - Apple, Kashmir)fresho![1x12]{pcs}<12>",fresho!,12,pc,1,12,pcs,12.0,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117259_1-fresho-gift-box-apple-kashmir.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117259_1-fresho-gift-box-apple-kashmir.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117259_1-fresho-gift-box-apple-kashmir.jpg'}]"
40140656,"""40140656""",(Gift Box - Apple Green + Pomegranate + Orange Imported)fresho![1x6]{pcs}<186.25>,fresho!,6,pc,1,6,pcs,186.25,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40140656_2-fresho-gift-box-apple-green-pomegranate-orange-imported.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40140656_2-fresho-gift-box-apple-green-pomegranate-orange-imported.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40140656_2-fresho-gift-box-apple-green-pomegranate-orange-imported.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40140656-2_1-fresho-gift-box-apple-green-pomegranate-orange-imported.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40140656-2_1-fresho-gift-box-apple-green-pomegranate-orange-imported.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40140656-2_1-fresho-gift-box-apple-green-pomegranate-orange-imported.jpg'}]"
40117257,"""40117257""","(Gift Box - Apple, Shimla)fresho![1x12]{pcs}<498.75>",fresho!,12,pc,1,12,pcs,498.75,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117257_1-fresho-gift-box-apple-shimla.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117257_1-fresho-gift-box-apple-shimla.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117257_1-fresho-gift-box-apple-shimla.jpg'}]"
40117268,"""40117268""",(Gift Box - Apple Shimla + Pomegranate)fresho![1x12]{pcs}<498.75>,fresho!,12,pc,1,12,pcs,498.75,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117268_1-fresho-gift-box-apple-shimla-pomegranate.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117268_1-fresho-gift-box-apple-shimla-pomegranate.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117268_1-fresho-gift-box-apple-shimla-pomegranate.jpg'}]"
40117260,"""40117260""","(Gift Box - Apple, Washington)fresho![1x6]{pcs}<12>",fresho!,6,pc,1,6,pcs,12.0,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117260_1-fresho-gift-box-apple-washington.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117260_1-fresho-gift-box-apple-washington.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117260_1-fresho-gift-box-apple-washington.jpg'}]"
40117264,"""40117264""",(Gift Box - Imported Green Pears)fresho![1x6]{pcs}<12>,fresho!,6,pc,1,6,pcs,12.0,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117264_1-fresho-gift-box-imported-green-pears.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117264_1-fresho-gift-box-imported-green-pears.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117264_1-fresho-gift-box-imported-green-pears.jpg'}]"
40092089,"""40092089""",(Exotic Fruits Gift Box)fresho![1x1]{kg}<229>,fresho!,1000,g,1,1,kg,229.0,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40092089_1-fresho-exotic-fruits-gift-box.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40092089_1-fresho-exotic-fruits-gift-box.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40092089_1-fresho-exotic-fruits-gift-box.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40092089-2_1-fresho-exotic-fruits-gift-box.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40092089-2_1-fresho-exotic-fruits-gift-box.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40092089-2_1-fresho-exotic-fruits-gift-box.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40092089-3_1-fresho-exotic-fruits-gift-box.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40092089-3_1-fresho-exotic-fruits-gift-box.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40092089-3_1-fresho-exotic-fruits-gift-box.jpg'}]"
30007006,"""30007006""",(Ganpati - 5 Fruits Pack)fresho![1x1]{pc}<163.01>,fresho!,1,pc,1,1,pc,163.01,Fruits & Vegetables,Fresh Fruits,Fruit Baskets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/30007006_1-fresho-ganpati-5-fruits-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30007006_1-fresho-ganpati-5-fruits-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30007006_1-fresho-ganpati-5-fruits-pack.jpg'}]"
