Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40023474,"""40023474""","(Banana - Yelakki, Organically Grown)fresho![1x500]{g}<86.3>",fresho!,500,g,1,500,g,86.3,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,"[{'id': '50000457', 'desc': 'Banana - Yelakki, Organically Grown', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '1000', 'w': '1 kg', 'absolute_url': '/pd/50000457/fresho-banana-yelakki-organically-grown-1-kg/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '168.49', 'mrp_per_pack': None, 'd_text': '35% OFF', 'd_avail': 'true', 'prim_price': {'sp': '110', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '110', 'base_unit': 'kg'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '110', 'camp_detail': {'c': [1404957, 2261516], 'c_f': 58.49, 'd_t': 'percent', 'd_v': 34.71, 'dual_pricing': True, 'm_f': 0, 'narq': 2, 'r_c': [1404957], 'v_f': 0}, 'offer_entry_text': 'Har Din Sasta!', 'offer_available': 'true'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': 'https://www.bigbasket.com/media/uploads/arrow_image_G.png', 'background': {'direction': 'LEFT_RIGHT', 'gradient': [{'a': 1, 'b': 255, 'g': 255, 'r': 255}, {'a': 1, 'b': 204, 'g': 241, 'r': 228}]}, 'background_border': {'direction': 'LEFT_RIGHT', 'gradient': [{'a': 1, 'b': 102, 'g': 213, 'r': 173}, {'a': 1, 'b': 51, 'g': 199, 'r': 145}]}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'true', 'offer_ent_txt': 'Har Din Sasta!', 'offer_entry_text': 'Har Din Sasta!', 'offer_logo': '', 'offer_logo_big': None, 'offer_logo_small': None, 'offer_logo_web': None, 'text_color': '#476F00'}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/50000457_4-fresho-banana-yelakki-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000457_4-fresho-banana-yelakki-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000457_4-fresho-banana-yelakki-organically-grown.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Organic Fruits & Vegetables', 'mlc_slug': 'organic-fruits-vegetables', 'mlc_id': 1361, 'llc_name': 'Organic Fruits', 'llc_slug': 'type=pc&slug=organic-fruits', 'llc_id': 1680}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 50000457}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '50000457', 'parent_info': {'id': 217598, 'parent_product_id': None, 'child_product_id': None, 'order': 1, 'parent_id': 50000457, 'child_id': 50000457, 'is_default': 1, 'type': 1, 'created_by_id': 5649, 'updated_by_id': 5649, 'created_on': '2017-10-18 15:25:03', 'updated_on': '2017-10-18 15:25:03'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40023474_7-fresho-banana-yelakki-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023474_7-fresho-banana-yelakki-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023474_7-fresho-banana-yelakki-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023474-2_3-fresho-banana-yelakki-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023474-2_3-fresho-banana-yelakki-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023474-2_3-fresho-banana-yelakki-organically-grown.jpg'}]"
40023478,"""94002347""",(Coconut - Organically Grown (Loose))fresho![1x1]{pc}<45.21>,fresho!,1,pc,1,1,pc,45.21,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40023478_5-fresho-coconut-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023478_5-fresho-coconut-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023478_5-fresho-coconut-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023478-2_1-fresho-coconut-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023478-2_1-fresho-coconut-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023478-2_1-fresho-coconut-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023478-3_1-fresho-coconut-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023478-3_1-fresho-coconut-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023478-3_1-fresho-coconut-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023478-4_1-fresho-coconut-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023478-4_1-fresho-coconut-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023478-4_1-fresho-coconut-organically-grown.jpg'}]"
50000519,"""500005190001""",(Guava - Organically Grown (Loose))fresho![1x1]{kg}<116.44>,fresho!,1000,g,1,1,kg,116.44,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,"[{'id': '50000518', 'desc': 'Guava - Organically Grown (Loose)', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': True, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/50000518/fresho-guava-organically-grown-500-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '52.05', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '38', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.08', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '38', 'camp_detail': {'c': [1404957], 'c_f': 14.05, 'd_t': 'percent', 'd_v': 26.99, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1404957], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/50000518_8-fresho-guava-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000518_8-fresho-guava-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000518_8-fresho-guava-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/50000518-2_2-fresho-guava-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000518-2_2-fresho-guava-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000518-2_2-fresho-guava-organically-grown.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Organic Fruits & Vegetables', 'mlc_slug': 'organic-fruits-vegetables', 'mlc_id': 1361, 'llc_name': 'Organic Fruits', 'llc_slug': 'type=pc&slug=organic-fruits', 'llc_id': 1680}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 50000519}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '50000518', 'parent_info': {'id': 217546, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 50000519, 'child_id': 50000518, 'is_default': 0, 'type': 1, 'created_by_id': 5649, 'updated_by_id': 5649, 'created_on': '2017-10-18 15:24:31', 'updated_on': '2017-10-18 15:24:31'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/50000519_7-fresho-guava-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000519_7-fresho-guava-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000519_7-fresho-guava-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/50000519-2_2-fresho-guava-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000519-2_2-fresho-guava-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000519-2_2-fresho-guava-organically-grown.jpg'}]"
40023475,"""40023475""","(Banana - Robusta, Organically Grown)fresho![1x1]{kg}<67.12>",fresho!,1000,g,1,1,kg,67.12,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40023475_5-fresho-banana-robusta-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023475_5-fresho-banana-robusta-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023475_5-fresho-banana-robusta-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023475-2_2-fresho-banana-robusta-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023475-2_2-fresho-banana-robusta-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023475-2_2-fresho-banana-robusta-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023475-3_1-fresho-banana-robusta-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023475-3_1-fresho-banana-robusta-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023475-3_1-fresho-banana-robusta-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023475-4_1-fresho-banana-robusta-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023475-4_1-fresho-banana-robusta-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023475-4_1-fresho-banana-robusta-organically-grown.jpg'}]"
40023482,"""40023482""",(Watermelon - Organically Grown (Loose))fresho![1x1]{pc}<79.45>,fresho!,1,pc,1,1,pc,79.45,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40023482_8-fresho-watermelon-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023482_8-fresho-watermelon-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023482_8-fresho-watermelon-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023482-2_1-fresho-watermelon-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023482-2_1-fresho-watermelon-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023482-2_1-fresho-watermelon-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023482-3_1-fresho-watermelon-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023482-3_1-fresho-watermelon-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023482-3_1-fresho-watermelon-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40023482-4_1-fresho-watermelon-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40023482-4_1-fresho-watermelon-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40023482-4_1-fresho-watermelon-organically-grown.jpg'}]"
40229396,"""40229396""","(Banana - Nendran, Organically Grown)fresho![1x1]{Kg}<119.18>",fresho!,1000,g,1,1,Kg,119.18,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40229396_1-fresho-banana-nendran-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229396_1-fresho-banana-nendran-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229396_1-fresho-banana-nendran-organically-grown.jpg'}]"
50000547,"""50000547""",(Sapota - Organically Grown)fresho![1x1]{kg}<81.25>,fresho!,1000,g,1,1,kg,81.25,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,"[{'id': '40022646', 'desc': 'Sapota - Organically Grown (Loose)', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/40022646/fresho-sapota-organically-grown-500-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '71.23', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '52', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.1', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '52', 'camp_detail': {'c': [1513707], 'c_f': 19.23, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1513707], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40022646_5-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022646_5-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022646_5-fresho-sapota-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022646-2_2-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022646-2_2-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022646-2_2-fresho-sapota-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022646-4_1-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022646-4_1-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022646-4_1-fresho-sapota-organically-grown.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Organic Fruits & Vegetables', 'mlc_slug': 'organic-fruits-vegetables', 'mlc_id': 1361, 'llc_name': 'Organic Fruits', 'llc_slug': 'type=pc&slug=organic-fruits', 'llc_id': 1680}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 50000547}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '40022646', 'parent_info': {'id': 217526, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 50000547, 'child_id': 40022646, 'is_default': 0, 'type': 1, 'created_by_id': 5649, 'updated_by_id': 5649, 'created_on': '2017-10-18 15:24:10', 'updated_on': '2017-10-18 15:24:10'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/50000547_5-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000547_5-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000547_5-fresho-sapota-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/50000547-2_3-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000547-2_3-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000547-2_3-fresho-sapota-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/50000547-3_2-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000547-3_2-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000547-3_2-fresho-sapota-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/50000547-4_2-fresho-sapota-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/50000547-4_2-fresho-sapota-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/50000547-4_2-fresho-sapota-organically-grown.jpg'}]"
40319280,"""40319280""","(Apple - Richard, Organically Grown, Premium)fresho![1x4]{pcs}<194.52>",fresho!,4,pc,1,4,pcs,194.52,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40319280_2-fresho-apple-richard-organically-grown-premium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40319280_2-fresho-apple-richard-organically-grown-premium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40319280_2-fresho-apple-richard-organically-grown-premium.jpg'}]"
40319282,"""40319282""","(Apple - Richard, Organically Grown, Regular)fresho![1x4]{pcs}<142.47>",fresho!,4,pc,1,4,pcs,142.47,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40319282_2-fresho-apple-richard-organically-grown-regular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40319282_2-fresho-apple-richard-organically-grown-regular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40319282_2-fresho-apple-richard-organically-grown-regular.jpg'}]"
40219745,"""40219745""","(Guava - Thai Organic, Pink)fresho![1x1]{pc}<64.38>",fresho!,1,pc,1,1,pc,64.38,Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40219745_1-fresho-guava-thai-organic-pink.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40219745_1-fresho-guava-thai-organic-pink.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40219745_1-fresho-guava-thai-organic-pink.jpg'}]"
