Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40010013,"""40010013""",(Carrot Strips and Beans Strip)fresho![1x200]{g}<61.64>,fresho!,200,g,1,200,g,61.64,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40010013_3-fresho-carrot-strips-and-beans-strip.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40010013_3-fresho-carrot-strips-and-beans-strip.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40010013_3-fresho-carrot-strips-and-beans-strip.jpg'}]"
40010008,"""400100080001""",(Sliced Peppers)fresho![1x300]{g}<110.96>,fresho!,300,g,1,300,g,110.96,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40010008_5-fresho-sliced-peppers.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40010008_5-fresho-sliced-peppers.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40010008_5-fresho-sliced-peppers.jpg'}]"
40010010,"""9400100100001""","(Cut Cauliflower & Broccoli, Washed)fresho![1x200]{g}<169.86>",fresho!,200,g,1,200,g,169.86,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40010010_3-fresho-cut-cauliflower-broccoli-washed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40010010_3-fresho-cut-cauliflower-broccoli-washed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40010010_3-fresho-cut-cauliflower-broccoli-washed.jpg'}]"
40010011,"""40010011""","(Carrots Sliced, Broccoli Florets and Cauliflower Florets)fresho![1x220]{g}<123.29>",fresho!,220,g,1,220,g,123.29,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40010011_6-fresho-carrots-sliced-broccoli-florets-and-cauliflower-florets.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40010011_6-fresho-carrots-sliced-broccoli-florets-and-cauliflower-florets.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40010011_6-fresho-carrots-sliced-broccoli-florets-and-cauliflower-florets.jpg'}]"
30005183,"""300051830001""",(Pulav Mix)fresho![1x250]{g}<75.34>,fresho!,250,g,1,250,g,75.34,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/30005183_12-fresho-pulav-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30005183_12-fresho-pulav-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30005183_12-fresho-pulav-mix.jpg'}]"
40025988,"""25988""",(Chutney Mix)fresho![1x140]{g}<45.21>,fresho!,140,g,1,140,g,45.21,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40025988_3-fresho-chutney-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40025988_3-fresho-chutney-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40025988_3-fresho-chutney-mix.jpg'}]"
40010009,"""400100090001""",(Carrots and Peas)fresho![1x200]{g}<91.78>,fresho!,200,g,1,200,g,91.78,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40010009_3-fresho-carrots-and-peas.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40010009_3-fresho-carrots-and-peas.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40010009_3-fresho-carrots-and-peas.jpg'}]"
40005881,"""40005881""",(Sambar Pack)fresho![1x250]{g}<121.92>,fresho!,250,g,1,250,g,121.92,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40005881_9-fresho-sambar-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40005881_9-fresho-sambar-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40005881_9-fresho-sambar-pack.jpg'}]"
20006190,"""200061900001""",(Mix - Gobhi Parantha)fresho![1x150]{g}<105.48>,fresho!,150,g,1,150,g,105.48,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20006190_4-fresho-mix-gobhi-parantha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20006190_4-fresho-mix-gobhi-parantha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20006190_4-fresho-mix-gobhi-parantha.jpg'}]"
40125654,"""40125654""",(Veg Spice - Combo Pack)fresho![1x400]{g}<243.84>,fresho!,400,g,1,400,g,243.84,Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40125654_5-fresho-veg-spice-combo-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40125654_5-fresho-veg-spice-combo-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40125654_5-fresho-veg-spice-combo-pack.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40125654-2_2-fresho-veg-spice-combo-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40125654-2_2-fresho-veg-spice-combo-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40125654-2_2-fresho-veg-spice-combo-pack.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40125654-3_2-fresho-veg-spice-combo-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40125654-3_2-fresho-veg-spice-combo-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40125654-3_2-fresho-veg-spice-combo-pack.jpg'}]"
