Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40217762,"""84021776200296""",(Cherry)fresho![1x250]{g}<291.78>,fresho!,250,g,1,250,g,291.78,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40217762_3-fresho-cherry.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217762_3-fresho-cherry.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217762_3-fresho-cherry.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40217762-2_1-fresho-cherry.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217762-2_1-fresho-cherry.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217762-2_1-fresho-cherry.jpg'}]"
10000093,"""100000930""",(Coconut - Medium)fresho![1x1]{pc}<45.21>,fresho!,1,pc,1,1,pc,45.21,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000093_17-fresho-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000093_17-fresho-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000093_17-fresho-coconut-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000093-2_26-fresho-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000093-2_26-fresho-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000093-2_26-fresho-coconut-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000093-3_2-fresho-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000093-3_2-fresho-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000093-3_2-fresho-coconut-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000093-4_1-fresho-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000093-4_1-fresho-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000093-4_1-fresho-coconut-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000093-5_1-fresho-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000093-5_1-fresho-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000093-5_1-fresho-coconut-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000093-6_1-fresho-coconut-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000093-6_1-fresho-coconut-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000093-6_1-fresho-coconut-medium.jpg'}]"
40218329,"""40218329""",(Plum - Indian)fresho![1xx500]{Approx  g}<198.63>,fresho!,500,g,1,x500,Approx  g,198.63,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40218329_2-fresho-plum-indian.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218329_2-fresho-plum-indian.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218329_2-fresho-plum-indian.jpg'}]"
10000092,"""10000092""",(Coconut - Large)fresho![1x1]{pc}<47.95>,fresho!,1,pc,1,1,pc,47.95,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000092_16-fresho-coconut-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000092_16-fresho-coconut-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000092_16-fresho-coconut-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000092-2_25-fresho-coconut-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000092-2_25-fresho-coconut-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000092-2_25-fresho-coconut-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000092-3_1-fresho-coconut-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000092-3_1-fresho-coconut-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000092-3_1-fresho-coconut-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000092-4_1-fresho-coconut-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000092-4_1-fresho-coconut-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000092-4_1-fresho-coconut-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000092-5_1-fresho-coconut-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000092-5_1-fresho-coconut-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000092-5_1-fresho-coconut-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000092-6_1-fresho-coconut-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000092-6_1-fresho-coconut-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000092-6_1-fresho-coconut-large.jpg'}]"
20001009,"""20001009""",(Grapes - Bangalore Blue)fresho![1x1]{kg}<134.25>,fresho!,1000,g,1,1,kg,134.25,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,"[{'id': '20001179', 'desc': 'Grapes - Bangalore Blue', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '250', 'w': '250 g', 'absolute_url': '/pd/20001179/fresho-grapes-bangalore-blue-250-g/', 'unit': 'g', 'usp': 'Rich in Vitamins A, C,K', 'availability': {'avail_status': '010', 'label': 'We are currently not delivering this', 'display_mrp': True, 'display_sp': False, 'not_for_sale': False, 'button': 'Notify Me', 'show_express': False}, 'pricing': {'discount': {'mrp': '23', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '16.79', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.07', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '16.79', 'camp_detail': {'c': [1513707], 'c_f': 6.21, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1513707], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/20001179_13-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001179_13-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001179_13-fresho-grapes-bangalore-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001179-2_1-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001179-2_1-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001179-2_1-fresho-grapes-bangalore-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001179-3_1-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001179-3_1-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001179-3_1-fresho-grapes-bangalore-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001179-4_1-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001179-4_1-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001179-4_1-fresho-grapes-bangalore-blue.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Seasonal Fruits', 'llc_slug': 'type=pc&slug=seasonal-fruits', 'llc_id': 1687}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1212558]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 20001009}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '20001179', 'parent_info': {'id': 286342, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 20001009, 'child_id': 20001179, 'is_default': 0, 'type': 1, 'created_by_id': 1342, 'updated_by_id': 1342, 'created_on': '2019-10-17 23:20:59', 'updated_on': '2019-10-17 23:20:59'}, 'high_affinity': [], 'is_tobacco': False}, {'id': '20000707', 'desc': 'Grapes - Bangalore Blue with Seed', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/20000707/fresho-grapes-bangalore-blue-with-seed-500-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '69.86', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '51', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.1', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '51', 'camp_detail': {'c': [1404957], 'c_f': 18.86, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1404957], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/20000707_12-fresho-grapes-bangalore-blue-with-seed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20000707_12-fresho-grapes-bangalore-blue-with-seed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20000707_12-fresho-grapes-bangalore-blue-with-seed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20000707-2_1-fresho-grapes-bangalore-blue-with-seed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20000707-2_1-fresho-grapes-bangalore-blue-with-seed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20000707-2_1-fresho-grapes-bangalore-blue-with-seed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20000707-3_1-fresho-grapes-bangalore-blue-with-seed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20000707-3_1-fresho-grapes-bangalore-blue-with-seed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20000707-3_1-fresho-grapes-bangalore-blue-with-seed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20000707-4_1-fresho-grapes-bangalore-blue-with-seed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20000707-4_1-fresho-grapes-bangalore-blue-with-seed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20000707-4_1-fresho-grapes-bangalore-blue-with-seed.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Seasonal Fruits', 'llc_slug': 'type=pc&slug=seasonal-fruits', 'llc_id': 1687}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1212558]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 20001009}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '20000707', 'parent_info': {'id': 286343, 'parent_product_id': None, 'child_product_id': None, 'order': 1, 'parent_id': 20001009, 'child_id': 20000707, 'is_default': 0, 'type': 1, 'created_by_id': 1342, 'updated_by_id': 1342, 'created_on': '2019-10-17 23:20:59', 'updated_on': '2019-10-17 23:20:59'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20001009_11-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001009_11-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001009_11-fresho-grapes-bangalore-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001009-2_1-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001009-2_1-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001009-2_1-fresho-grapes-bangalore-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001009-3_1-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001009-3_1-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001009-3_1-fresho-grapes-bangalore-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001009-4_1-fresho-grapes-bangalore-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001009-4_1-fresho-grapes-bangalore-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001009-4_1-fresho-grapes-bangalore-blue.jpg'}]"
40218332,"""402183320001""",(Grapes - Green Sonaka)fresho![1xx500]{Approx  g}<142.47>,fresho!,500,g,1,x500,Approx  g,142.47,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40218332_1-fresho-grapes-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218332_1-fresho-grapes-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218332_1-fresho-grapes-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40218332-2_1-fresho-grapes-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218332-2_1-fresho-grapes-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218332-2_1-fresho-grapes-green.jpg'}]"
20000727,"""8906105470095""","(Dates - Kimia, with Seed)fresho![1x1]{pc}<316.44>",fresho!,1,pc,1,1,pc,316.44,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20000727_13-fresho-dates-kimia-with-seed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20000727_13-fresho-dates-kimia-with-seed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20000727_13-fresho-dates-kimia-with-seed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20000727-2_1-fresho-dates-kimia-with-seed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20000727-2_1-fresho-dates-kimia-with-seed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20000727-2_1-fresho-dates-kimia-with-seed.jpg'}]"
20001095,"""8696740100371""",(Apricot - Dried)fresho![1x200]{g}<384.93>,fresho!,200,g,1,200,g,384.93,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20001095_14-fresho-apricot-dried.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001095_14-fresho-apricot-dried.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001095_14-fresho-apricot-dried.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001095-2_1-fresho-apricot-dried.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001095-2_1-fresho-apricot-dried.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001095-2_1-fresho-apricot-dried.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001095-3_1-fresho-apricot-dried.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001095-3_1-fresho-apricot-dried.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001095-3_1-fresho-apricot-dried.jpg'}]"
40218328,"""40218328""",(Cherry - Kashmir)fresho![1xx500]{Approx  g}<343.84>,fresho!,500,g,1,x500,Approx  g,343.84,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40218328_3-fresho-cherry-kashmir.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218328_3-fresho-cherry-kashmir.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218328_3-fresho-cherry-kashmir.jpg'}]"
10000592,"""10000592""",(Sugarcane)fresho![1x1]{pc}<13.7>,fresho!,1,pc,1,1,pc,13.7,Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000592_10-fresho-sugarcane.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000592_10-fresho-sugarcane.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000592_10-fresho-sugarcane.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000592-2_16-fresho-sugarcane.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000592-2_16-fresho-sugarcane.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000592-2_16-fresho-sugarcane.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000592-3_3-fresho-sugarcane.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000592-3_3-fresho-sugarcane.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000592-3_3-fresho-sugarcane.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000592-4_1-fresho-sugarcane.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000592-4_1-fresho-sugarcane.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000592-4_1-fresho-sugarcane.jpg'}]"
