Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40108938,"""40108938""",(Parchment Paper - Oil Free)Freshee[25]{ m}<550>,Freshee,1.0,pc,1,25, m,550.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,"[{'id': '40125494', 'desc': 'Parchment Paper - Oil Free', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': True, 'magnitude': '1', 'w': '5 m', 'absolute_url': '/pd/40125494/freshee-parchment-paper-oil-free-5-m/', 'unit': 'pc', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '150', 'mrp_per_pack': None, 'd_text': None, 'd_avail': 'false', 'prim_price': {'sp': '150', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '150', 'base_unit': 'pc'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '150', 'camp_detail': {'c': [], 'c_f': 0, 'd_t': '', 'd_v': 0, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40125494_1-freshee-parchment-paper-oil-free.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40125494_1-freshee-parchment-paper-oil-free.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40125494_1-freshee-parchment-paper-oil-free.jpg'}], 'variable_weight': None, 'brand': {'name': 'Freshee', 'slug': 'freshee', 'url': '/pb/freshee/'}, 'category': {'tlc_name': 'Kitchen, Garden & Pets', 'tlc_slug': 'kitchen-garden-pets', 'mlc_name': 'Bakeware', 'mlc_slug': 'bakeware', 'mlc_id': 882, 'llc_name': 'Bakeware Accessories', 'llc_slug': 'type=pc&slug=bakeware-accessories', 'llc_id': 1763}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': '4.4', 'rating_count': 19, 'review_count': 0, 'sku_id': 40108938}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '890800849231', 'parent_info': {'id': 376654, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 40108938, 'child_id': 40125494, 'is_default': 0, 'type': 1, 'created_by_id': 3295, 'updated_by_id': 3295, 'created_on': '2022-11-17 16:25:45', 'updated_on': '2022-11-17 16:25:45'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40108938_4-freshee-parchment-paper-oil-free.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40108938_4-freshee-parchment-paper-oil-free.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40108938_4-freshee-parchment-paper-oil-free.jpg'}]"
40115188,"""40115188""",(Silicon Heat Resistant Baking Gloves - Assorted colors)DP[1]{ pc}<419>,DP,1.0,pc,1,1, pc,419.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40115188_1-dp-silicon-heat-resistant-baking-gloves-assorted-colors.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40115188_1-dp-silicon-heat-resistant-baking-gloves-assorted-colors.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40115188_1-dp-silicon-heat-resistant-baking-gloves-assorted-colors.jpg'}]"
40242431,"""40242431""","(Silicone Pastry/Baking/Cooking Oil Brush - 26 Cm, Colour May Vary, Baking Essential)Petals[1]{ pc}<189>",Petals,1.0,pc,1,1, pc,189.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242431_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242431_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242431_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242431-2_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242431-2_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242431-2_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242431-3_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242431-3_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242431-3_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242431-4_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242431-4_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242431-4_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242431-5_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242431-5_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242431-5_1-petals-silicone-pastrybakingcooking-oil-brush-26-cm-assorted-colour-sturdy.jpg'}]"
40184947,"""40184947""",(Cotton Oven Glove)HAZEL[1]{ pc}<330>,HAZEL,1.0,pc,1,1, pc,330.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184947_2-hazel-cotton-oven-glove.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184947_2-hazel-cotton-oven-glove.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184947_2-hazel-cotton-oven-glove.jpg'}]"
40186567,"""40186567""","(Multi Coloured Apron, Oven Glove & Mat- Cloth, BB1443)DP[3]{ pcs}<499>",DP,3.0,pc,1,3, pcs,499.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40186567_4-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186567_4-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186567_4-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186567-2_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186567-2_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186567-2_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186567-3_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186567-3_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186567-3_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186567-4_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186567-4_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186567-4_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186567-5_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186567-5_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186567-5_2-dp-multi-coloured-apron-oven-glove-mat-cloth-bb1443.jpg'}]"
40205175,"""40205175""","(Rectangular Bar Shape Cake Mould For Baking Assorted Colour, KL-07)Klassic[1]{ pc}<729>",Klassic,1.0,pc,1,1, pc,729.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40205175_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205175_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205175_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40205175-2_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205175-2_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205175-2_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40205175-3_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205175-3_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205175-3_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40205175-4_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205175-4_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205175-4_2-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40205175-5_1-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205175-5_1-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205175-5_1-klassic-rectangular-bar-shape-cake-mould-for-baking-assorted-colour-kl-07.jpg'}]"
40205232,"""40205232""","(Silicone Piping 16"", KL-66)Klassic[1]{ pc}<399>",Klassic,1.0,pc,1,1, pc,399.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40205232_1-klassic-silicone-piping-16-kl-66.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205232_1-klassic-silicone-piping-16-kl-66.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205232_1-klassic-silicone-piping-16-kl-66.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40205232-2_1-klassic-silicone-piping-16-kl-66.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205232-2_1-klassic-silicone-piping-16-kl-66.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205232-2_1-klassic-silicone-piping-16-kl-66.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40205232-3_1-klassic-silicone-piping-16-kl-66.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40205232-3_1-klassic-silicone-piping-16-kl-66.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40205232-3_1-klassic-silicone-piping-16-kl-66.jpg'}]"
40198977,"""8902766933313""",(Joie Meow Measuring Spoon - Assorted Colour)Seven seas[5]{ pcs}<399>,Seven seas,5.0,pc,1,5, pcs,399.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40198977_3-seven-seas-joie-meow-measuring-spoon-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40198977_3-seven-seas-joie-meow-measuring-spoon-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40198977_3-seven-seas-joie-meow-measuring-spoon-assorted-colour.jpg'}]"
40137306,"""40137306""",(Measuring Cup)Pyrex[473]{ ml}<625>,Pyrex,473.0,ml,1,473, ml,625.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40137306_1-pyrex-measuring-cup.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40137306_1-pyrex-measuring-cup.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40137306_1-pyrex-measuring-cup.jpg'}]"
40198979,"""67742267993""",(Joie Measuring Spoon Set - Assorted Colour)Seven seas[5]{ pcs}<299>,Seven seas,5.0,pc,1,5, pcs,299.0,"Kitchen, Garden & Pets",Bakeware,Bakeware Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40198979_4-seven-seas-joie-measuring-spoon-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40198979_4-seven-seas-joie-measuring-spoon-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40198979_4-seven-seas-joie-measuring-spoon-set-assorted-colour.jpg'}]"
