Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40184928,"""40184928""",(Food Grade Aluminium Round Shape Cake Mould - 18 cm)HAZEL[1]{ pc}<449>,HAZEL,1.0,pc,1,1, pc,449.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184928_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184928_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184928_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184928-2_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184928-2_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184928-2_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184928-3_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184928-3_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184928-3_6-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184928-4_2-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184928-4_2-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184928-4_2-hazel-food-grade-aluminium-round-shape-cake-mould-7-inch.jpg'}]"
40240082,"""40240082""","(Aluminium Cake Mould  - Round, Teflon Non-Stick Coated, Removable Base Springform Cake Tin, 22 cm)HAZEL[1]{ pc}<799>",HAZEL,1.0,pc,1,1, pc,799.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-2_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-2_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-2_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-3_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-3_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-3_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-4_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-4_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-4_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-5_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-5_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-5_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-6_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-6_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-6_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-7_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-7_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-7_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240082-8_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240082-8_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240082-8_4-hazel-aluminium-cake-mould-round-teflon-non-stick-coated-removable-base-springform-cake-tin-22-cm.jpg'}]"
40203577,"""40203577""","(Aluminium Round Cake Mould - Medium, Assorted Colour)HAZEL[1]{ pc}<449>",HAZEL,1.0,pc,1,1, pc,449.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40203577_2-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203577_2-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203577_2-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203577-2_1-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203577-2_1-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203577-2_1-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203577-3_1-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203577-3_1-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203577-3_1-hazel-aluminium-round-cake-mould-medium-assorted-colour.jpg'}]"
40234624,"""40234624""","(Aluminium Round Shaped Cake Mould Set - Microwave, Oven & Cooker Safe)Segovia[3]{ pcs}<799>",Segovia,3.0,pc,1,3, pcs,799.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624-2_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624-2_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624-2_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624-3_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624-3_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624-3_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624-4_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624-4_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624-4_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624-5_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624-5_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624-5_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624-6_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624-6_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624-6_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40234624-7_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40234624-7_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40234624-7_1-segovia-aluminium-round-shaped-cake-mould-set-microwave-oven-cooker-safe.jpg'}]"
40203568,"""40203568""",(Non-Stick 6 Cavity Muffin Tray - Assorted Colour)HAZEL[1]{ pc}<407>,HAZEL,1.0,pc,1,1, pc,407.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40203568_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203568_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203568_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203568-2_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203568-2_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203568-2_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203568-3_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203568-3_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203568-3_3-hazel-non-stick-6-cavity-muffin-tray-assorted-colour.jpg'}]"
40229877,"""40229877""","(Silicone Brush Set - Assorted Colour, BB6454-8)CookStyle[2]{ pcs}<499>",CookStyle,2.0,pc,1,2, pcs,499.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877-2_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877-2_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877-2_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877-3_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877-3_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877-3_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877-4_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877-4_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877-4_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877-5_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877-5_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877-5_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877-6_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877-6_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877-6_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229877-7_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229877-7_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229877-7_2-cookstyle-silicone-brush-set-assorted-colour-bb6454-8.jpg'}]"
40184927,"""40184927""",(Food Grade Aluminium Round Shape Cake Mould - 15 cm)HAZEL[1]{ pc}<399>,HAZEL,1.0,pc,1,1, pc,399.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184927_8-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184927_8-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184927_8-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184927-2_6-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184927-2_6-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184927-2_6-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184927-3_6-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184927-3_6-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184927-3_6-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184927-4_2-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184927-4_2-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184927-4_2-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184927-5_2-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184927-5_2-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184927-5_2-hazel-food-grade-aluminium-round-shape-cake-mould-6-inch.jpg'}]"
40203579,"""40203579""","(Aluminium Square Cake Mould - Small, Assorted Colour)HAZEL[1]{ pc}<399>",HAZEL,1.0,pc,1,1, pc,399.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40203579_2-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203579_2-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203579_2-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203579-2_1-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203579-2_1-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203579-2_1-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203579-3_1-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203579-3_1-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203579-3_1-hazel-aluminium-square-cake-mould-small-assorted-colour.jpg'}]"
40229873,"""40229873""","(Silicone Cake Mould Set - Assorted Colour, BB6454-4)CookStyle[6]{ pcs}<259>",CookStyle,6.0,pc,1,6, pcs,259.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-2_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-2_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-2_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-3_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-3_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-3_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-4_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-4_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-4_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-5_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-5_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-5_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-6_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-6_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-6_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-7_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-7_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-7_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229873-8_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229873-8_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229873-8_1-cookstyle-silicone-cake-mould-set-assorted-colour-bb6454-4.jpg'}]"
40223436,"""40223436""","(Aluminium Square Shape Cake Mould - For Ovens, DP023)DP[3]{ pcs}<959>",DP,3.0,pc,1,3, pcs,959.0,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40223436_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40223436_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40223436_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40223436-2_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40223436-2_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40223436-2_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40223436-3_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40223436-3_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40223436-3_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40223436-4_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40223436-4_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40223436-4_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40223436-5_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40223436-5_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40223436-5_1-dp-aluminium-square-shape-cake-mould-for-ovens-dp023.jpg'}]"
