Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40229860,"""40229860""","(Silicone Brush - BB437-B, With wooden Handle)DP[1]{ pc}<229>",DP,1.0,pc,1,1, pc,229.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40229860_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229860_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229860_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229860-2_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229860-2_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229860-2_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229860-3_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229860-3_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229860-3_1-dp-silicone-brush-with-wooden-handle-assorted-colour-bb437-b.jpg'}]"
40154238,"""40154238""","(Basting Brush Kitchen Oil Cooking Tool - Silicon Wooden, Blue/Grey Assorted, BB1159)Casasunco[1]{ pc}<339>",Casasunco,1.0,pc,1,1, pc,339.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40154238_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154238_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154238_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40154238-2_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154238-2_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154238-2_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg'}]"
40184848,"""40184848""",(Big Silicone Spatula With Plastic Handle - Blue)HAZEL[1]{ pc}<429>,HAZEL,1.0,pc,1,1, pc,429.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184848_7-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184848_7-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184848_7-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184848-2_7-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184848-2_7-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184848-2_7-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184848-3_5-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184848-3_5-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184848-3_5-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184848-4_3-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184848-4_3-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184848-4_3-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184848-5_3-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184848-5_3-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184848-5_3-hazel-big-silicone-spatula-with-plastic-handle-blue.jpg'}]"
40154233,"""40154233""","(Silicon Spatula - Wooden Handle, Assorted colors - For Kitchen Use)Casasunco[1]{ pc}<339>",Casasunco,1.0,pc,1,1, pc,339.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40154233_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154233_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154233_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40154233-2_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154233-2_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154233-2_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40154233-3_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154233-3_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154233-3_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40154233-4_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154233-4_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154233-4_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40154233-5_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40154233-5_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40154233-5_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg'}]"
40229862,"""40229862""","(Silicone Brush - BB437-D, With Plastic Handle)DP[1]{ pc}<149>",DP,1.0,pc,1,1, pc,149.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-2_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-2_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-2_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-3_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-3_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-3_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-4_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-4_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-4_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-5_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-5_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-5_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-6_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-6_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-6_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-7_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-7_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-7_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40229862-8_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40229862-8_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40229862-8_1-dp-silicone-brush-with-plastic-handle-medium-assorted-colour-bb437-d.jpg'}]"
40184846,"""40184846""",(Big Silicone Spoonula With Plastic Handle - Red)HAZEL[1]{ pc}<429>,HAZEL,1.0,pc,1,1, pc,429.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184846_9-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184846_9-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184846_9-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184846-2_7-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184846-2_7-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184846-2_7-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184846-3_7-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184846-3_7-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184846-3_7-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184846-4_3-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184846-4_3-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184846-4_3-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184846-5_2-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184846-5_2-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184846-5_2-hazel-big-silicone-spoonula-with-plastic-handle-red.jpg'}]"
40022057,"""40022057""",(Pastry brush Nylon)Fackelmann[1]{ pc}<149>,Fackelmann,1.0,pc,1,1, pc,149.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40022057_3-fackelmann-nylon-pastry-brush-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022057_3-fackelmann-nylon-pastry-brush-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022057_3-fackelmann-nylon-pastry-brush-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022057-2_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022057-2_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022057-2_1-fackelmann-nylon-pastry-brush-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022057-3_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022057-3_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022057-3_1-fackelmann-nylon-pastry-brush-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022057-4_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022057-4_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022057-4_1-fackelmann-nylon-pastry-brush-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022057-5_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022057-5_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022057-5_1-fackelmann-nylon-pastry-brush-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022057-6_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022057-6_1-fackelmann-nylon-pastry-brush-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022057-6_1-fackelmann-nylon-pastry-brush-assorted.jpg'}]"
40022056,"""4008033428965""","(Zenker Nylon Baking Brush, 19 Cm | Heat-Resistant Up to 450°F)Fackelmann[1]{ pc}<99>",Fackelmann,1.0,pc,1,1, pc,99.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40022056_3-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022056_3-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022056_3-fackelmann-wooden-handle-pastry-brush-19cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022056-2_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022056-2_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022056-2_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022056-3_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022056-3_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022056-3_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022056-4_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022056-4_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022056-4_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022056-5_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022056-5_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022056-5_1-fackelmann-wooden-handle-pastry-brush-19cm.jpg'}]"
40022077,"""40022077""","(Zenker Baking brush 25 cm, silicone, Candy)Fackelmann[1]{ pc}<199>",Fackelmann,1.0,pc,1,1, pc,199.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40022077_3-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022077_3-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022077_3-fackelmann-siliconepp-card-baking-brush-25cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022077-2_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022077-2_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022077-2_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022077-3_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022077-3_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022077-3_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022077-4_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022077-4_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022077-4_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022077-5_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022077-5_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022077-5_1-fackelmann-siliconepp-card-baking-brush-25cm.jpg'}]"
40239931,"""40239931""","(Virign Silicone Food Tongs With Hook - 23 cm , For Handling Hot/Cold Food)Femora[1]{ pc}<340>",Femora,1.0,pc,1,1, pc,340.0,"Kitchen, Garden & Pets",Bakeware,Baking Tools & Brushes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40239931_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40239931_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40239931_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40239931-2_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40239931-2_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40239931-2_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40239931-3_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40239931-3_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40239931-3_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40239931-4_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40239931-4_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40239931-4_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40239931-5_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40239931-5_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40239931-5_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40239931-6_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40239931-6_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40239931-6_2-femora-virign-silicone-food-tongs-with-hook-9-inch-for-handling-hotcold-food.jpg'}]"
