Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40178966,"""8902330048931""","(Insulated Plastic Casserole For Roti/Chapati - Cosmos N Dlx, Green)Asian[2.5]{ L}<534>",Asian,2500.0,ml,1,2.5, L,534.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40178966_5-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178966_5-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178966_5-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178966-2_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178966-2_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178966-2_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178966-3_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178966-3_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178966-3_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178966-4_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178966-4_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178966-4_2-asian-insulated-plastic-casserole-for-rotichapati-cosmos-n-dlx-green.jpg'}]"
40129297,"""8902330048962""","(Casserole - Used For Roti/Chapati, Dishwasher Safe, Mehandi Green)Asian[600]{ ml}<215>",Asian,600.0,ml,1,600, ml,215.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40129297_7-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129297_7-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129297_7-asian-casserole-for-roti-chapati-cosmos-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129297-2_4-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129297-2_4-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129297-2_4-asian-casserole-for-roti-chapati-cosmos-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129297-3_3-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129297-3_3-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129297-3_3-asian-casserole-for-roti-chapati-cosmos-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129297-4_3-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129297-4_3-asian-casserole-for-roti-chapati-cosmos-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129297-4_3-asian-casserole-for-roti-chapati-cosmos-green.jpg'}]"
40129286,"""8902330407585""","(Roti/Chapati Casserole - Insulated Plastic, Cosmos, Orange)Asian[3]{ pcs}<789>",Asian,3.0,pc,1,3, pcs,789.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40129286_7-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129286_7-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129286_7-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129286-2_7-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129286-2_7-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129286-2_7-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129286-3_9-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129286-3_9-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129286-3_9-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129286-4_5-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129286-4_5-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129286-4_5-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129286-5_5-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129286-5_5-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129286-5_5-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129286-6_1-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129286-6_1-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129286-6_1-asian-rotichapati-casserole-insulated-plastic-cosmos-orange.jpg'}]"
40274357,"""8904252699840""","(Casserole - nner Steel, Insulated, White & Blue, Elite)Saura[1]{ L}<360>",Saura,1000.0,ml,1,1, L,360.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40274357_4-saura-elite-casserole-1000-ml-marble-white-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274357_4-saura-elite-casserole-1000-ml-marble-white-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274357_4-saura-elite-casserole-1000-ml-marble-white-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274357-2_2-saura-elite-casserole-1000-ml-marble-white-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274357-2_2-saura-elite-casserole-1000-ml-marble-white-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274357-2_2-saura-elite-casserole-1000-ml-marble-white-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274357-3_1-saura-elite-casserole-1000-ml-marble-white-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274357-3_1-saura-elite-casserole-1000-ml-marble-white-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274357-3_1-saura-elite-casserole-1000-ml-marble-white-blue.jpg'}]"
40225247,"""40225247""","(Casserole, Inner Steel, Insulated, Ivory, Neo)Princeware[1.5]{ l}<349>",Princeware,1500.0,ml,1,1.5, l,349.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40225247_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40225247_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40225247_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40225247-2_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40225247-2_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40225247-2_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40225247-3_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40225247-3_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40225247-3_1-princeware-rotichapati-casserole-insulated-plastic-neo-15-l-7353-ivory.jpg'}]"
40240441,"""8901309224383""","(Stainless Steel Casserole -  Induction & Hot Plate Friendly, Silver)Borosil[5.2]{ L}<4280>",Borosil,5200.0,ml,1,5.2, L,4280.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441-2_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441-2_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441-2_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441-3_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441-3_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441-3_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441-4_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441-4_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441-4_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441-5_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441-5_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441-5_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441-6_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441-6_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441-6_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240441-7_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240441-7_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240441-7_1-borosil-stainless-steel-casserole-induction-hot-plate-friendly-silver.jpg'}]"
40251023,"""40251023""","(Status Plastic Casseroles Set - Stainless Steel Inner Case, Insulated, Keeps Food Warm,Green)Jayco[3]{ pcs}<1200>",Jayco,3.0,pc,1,3, pcs,1200.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40251023_2-jayco-status-plastic-casseroles-set-stainless-steel-inner-case-insulated-keeps-food-warmgreen.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40251023_2-jayco-status-plastic-casseroles-set-stainless-steel-inner-case-insulated-keeps-food-warmgreen.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40251023_2-jayco-status-plastic-casseroles-set-stainless-steel-inner-case-insulated-keeps-food-warmgreen.jpg'}]"
40199273,"""8902061018425""",(Crave 1000 Inner Steel Casserole - Peach)Milton[800]{ ml}<365>,Milton,800.0,ml,1,800, ml,365.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40199273_2-milton-crave-1000-inner-steel-casserole-peach.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199273_2-milton-crave-1000-inner-steel-casserole-peach.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199273_2-milton-crave-1000-inner-steel-casserole-peach.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199273-2_1-milton-crave-1000-inner-steel-casserole-peach.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199273-2_1-milton-crave-1000-inner-steel-casserole-peach.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199273-2_1-milton-crave-1000-inner-steel-casserole-peach.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199273-3_1-milton-crave-1000-inner-steel-casserole-peach.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199273-3_1-milton-crave-1000-inner-steel-casserole-peach.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199273-3_1-milton-crave-1000-inner-steel-casserole-peach.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199273-4_1-milton-crave-1000-inner-steel-casserole-peach.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199273-4_1-milton-crave-1000-inner-steel-casserole-peach.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199273-4_1-milton-crave-1000-inner-steel-casserole-peach.jpg'}]"
40199266,"""40199266""",(New Imperial 1500 Casserole - Blue)Milton[1.4]{ L}<525>,Milton,1400.0,ml,1,1.4, L,525.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40199266_2-milton-new-imperial-1500-casserole-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199266_2-milton-new-imperial-1500-casserole-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199266_2-milton-new-imperial-1500-casserole-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199266-2_1-milton-new-imperial-1500-casserole-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199266-2_1-milton-new-imperial-1500-casserole-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199266-2_1-milton-new-imperial-1500-casserole-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199266-3_1-milton-new-imperial-1500-casserole-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199266-3_1-milton-new-imperial-1500-casserole-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199266-3_1-milton-new-imperial-1500-casserole-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199266-4_1-milton-new-imperial-1500-casserole-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199266-4_1-milton-new-imperial-1500-casserole-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199266-4_1-milton-new-imperial-1500-casserole-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199266-5_1-milton-new-imperial-1500-casserole-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199266-5_1-milton-new-imperial-1500-casserole-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199266-5_1-milton-new-imperial-1500-casserole-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199266-6_1-milton-new-imperial-1500-casserole-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199266-6_1-milton-new-imperial-1500-casserole-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199266-6_1-milton-new-imperial-1500-casserole-blue.jpg'}]"
40273110,"""40273110""","(Casserole Set - Inner Steel, Insulated, Bluish Grey, Cosmos)Asian[3]{ pcs}<789>",Asian,3.0,pc,1,3, pcs,789.0,"Kitchen, Garden & Pets",Flask & Casserole,Casserole,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40273110_1-asian-cosmos-casserole-set-bluish-gray-plastic-high-quality-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273110_1-asian-cosmos-casserole-set-bluish-gray-plastic-high-quality-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273110_1-asian-cosmos-casserole-set-bluish-gray-plastic-high-quality-sturdy.jpg'}]"
