Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40276854,"""40276854""","(Terod Cloth Drying Stand - Butterfly Shape, Foldable, Non-Slip, Rust Proof)Gimi[1]{ pc}<3440>",Gimi,1.0,pc,1,1, pc,3440.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-2_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-2_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-2_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-3_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-3_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-3_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-4_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-4_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-4_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-5_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-5_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-5_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-6_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-6_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-6_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-7_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-7_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-7_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276854-8_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276854-8_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276854-8_1-gimi-terod-cloth-drying-stand-butterfly-shape-foldable-non-slip-rust-proof.jpg'}]"
40276856,"""40276856""","(Alucom Plus Cloth Drying Stand - Foldable, Non-Slip, Rust Proof)Gimi[1]{ pc}<3160>",Gimi,1.0,pc,1,1, pc,3160.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856_5-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856_5-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856_5-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-2_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-2_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-2_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-3_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-3_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-3_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-4_5-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-4_5-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-4_5-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-5_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-5_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-5_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-6_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-6_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-6_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-7_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-7_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-7_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-8_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-8_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-8_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276856-9_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276856-9_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276856-9_4-gimi-alucom-plus-cloth-drying-stand-foldable-non-slip-rust-proof.jpg'}]"
40276855,"""40276855""","(Leo Ironing Board/Table - Foldable, Felt Pad With Cotton Cover, Easy To Store)Gimi[1]{ pc}<2480>",Gimi,1.0,pc,1,1, pc,2480.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-2_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-2_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-2_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-3_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-3_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-3_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-4_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-4_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-4_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-5_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-5_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-5_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-6_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-6_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-6_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-7_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-7_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-7_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-8_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-8_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-8_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40276855-9_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40276855-9_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40276855-9_1-gimi-leo-ironing-boardtable-foldable-felt-pad-with-cotton-cover-easy-to-store.jpg'}]"
40175676,"""8904252400194""",(Galaxy Wing Cloth Dryer Stand - White/Purple)Savera[1]{ pc}<2790>,Savera,1.0,pc,1,1, pc,2790.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40175676_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175676_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175676_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40175676-2_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175676-2_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175676-2_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40175676-3_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175676-3_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175676-3_1-savera-galaxy-wing-cloth-dryer-stand-whitepurple.jpg'}]"
408014,"""8906000420218""",(Burnol)Dr. Morepen[20]{ g}<85.8>,Dr. Morepen,20.0,g,1,20, g,85.8,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/408014_1-dr-morepen-burnol.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/408014_1-dr-morepen-burnol.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/408014_1-dr-morepen-burnol.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/408014-2_1-dr-morepen-burnol.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/408014-2_1-dr-morepen-burnol.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/408014-2_1-dr-morepen-burnol.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/408014-3_1-dr-morepen-burnol.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/408014-3_1-dr-morepen-burnol.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/408014-3_1-dr-morepen-burnol.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/408014-4_1-dr-morepen-burnol.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/408014-4_1-dr-morepen-burnol.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/408014-4_1-dr-morepen-burnol.jpg'}]"
40175681,"""40175681""","(Zaire Ironing Board With Sleek Design - Durable, High-Quality Finishing)Savera[1]{ pc}<4120>",Savera,1.0,pc,1,1, pc,4120.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40175681_2-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175681_2-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175681_2-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40175681-2_1-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175681-2_1-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175681-2_1-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40175681-3_1-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175681-3_1-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175681-3_1-savera-zaire-steel-iron-board-iron-table-black-text-design.jpg'}]"
40177185,"""40177185""","(Heavy Duty Ironing Board Cum Ladder - Grey, BB1437)DP[1]{ pc}<6109>",DP,1.0,pc,1,1, pc,6109.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40177185_4-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40177185_4-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40177185_4-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40177185-2_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40177185-2_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40177185-2_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40177185-3_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40177185-3_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40177185-3_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40177185-4_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40177185-4_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40177185-4_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40177185-5_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40177185-5_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40177185-5_6-dp-heavy-duty-ironing-board-cum-ladder-grey-bb1437.jpg'}]"
40161219,"""40161219""",(Primo Ironing Board - Assorted Colour)Nilkamal[1]{ pc}<3900>,Nilkamal,1.0,pc,1,1, pc,3900.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40161219_3-nilkamal-primo-ironing-board-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40161219_3-nilkamal-primo-ironing-board-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40161219_3-nilkamal-primo-ironing-board-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40161219-2_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40161219-2_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40161219-2_1-nilkamal-primo-ironing-board-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40161219-3_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40161219-3_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40161219-3_1-nilkamal-primo-ironing-board-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40161219-4_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40161219-4_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40161219-4_1-nilkamal-primo-ironing-board-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40161219-5_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40161219-5_1-nilkamal-primo-ironing-board-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40161219-5_1-nilkamal-primo-ironing-board-assorted-colour.jpg'}]"
40175677,"""8904252400071""",(Nile Steel Iron Board/ Iron Table - Artline Design)Savera[1]{ pc}<2300>,Savera,1.0,pc,1,1, pc,2300.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40175677_2-savera-nile-steel-iron-board-iron-table-artline-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175677_2-savera-nile-steel-iron-board-iron-table-artline-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175677_2-savera-nile-steel-iron-board-iron-table-artline-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40175677-2_1-savera-nile-steel-iron-board-iron-table-artline-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175677-2_1-savera-nile-steel-iron-board-iron-table-artline-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175677-2_1-savera-nile-steel-iron-board-iron-table-artline-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40175677-3_1-savera-nile-steel-iron-board-iron-table-artline-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175677-3_1-savera-nile-steel-iron-board-iron-table-artline-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175677-3_1-savera-nile-steel-iron-board-iron-table-artline-design.jpg'}]"
40096420,"""40096420""",(Cloth Drier - Thread)J-Son[1]{ pc}<49>,J-Son,1.0,pc,1,1, pc,49.0,"Kitchen, Garden & Pets",Storage & Accessories,Cloth Dryer & Iron Table,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40096420_2-j-son-cloth-drier-thread.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40096420_2-j-son-cloth-drier-thread.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40096420_2-j-son-cloth-drier-thread.jpg'}]"
