Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40242121,"""40242121""","(4+1 E Book Power Strip - Polycarbonate, 3060, 2 mtr)GM[1]{ pc}<650>",GM,1.0,pc,1,1, pc,650.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242121_5-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242121_5-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242121_5-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242121-2_5-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242121-2_5-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242121-2_5-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242121-3_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242121-3_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242121-3_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242121-4_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242121-4_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242121-4_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242121-5_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242121-5_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242121-5_4-gm-e-book-41-power-strip-with-master-switch-3060-suitable-for-all-types-of-sockets.jpg'}]"
40323401,"""40323401""",(678 Original Ink Advantage Cartridge - Black)Hp[1]{ pc}<919>,Hp,1.0,pc,1,1, pc,919.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323401_1-hp-hp-678-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323401_1-hp-hp-678-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323401_1-hp-hp-678-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323401-2_1-hp-hp-678-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323401-2_1-hp-hp-678-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323401-2_1-hp-hp-678-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323401-3_1-hp-hp-678-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323401-3_1-hp-hp-678-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323401-3_1-hp-hp-678-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323401-4_1-hp-hp-678-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323401-4_1-hp-hp-678-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323401-4_1-hp-hp-678-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323401-5_1-hp-hp-678-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323401-5_1-hp-hp-678-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323401-5_1-hp-hp-678-black.jpg'}]"
40217694,"""40217694""","(4 Socket Extension Board - Polycarbonate, 4 mtr, With LED Indicator)Anchor by Panasonic[1]{ pc}<737>",Anchor by Panasonic,1.0,pc,1,1, pc,737.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40217694_1-anchor-by-panasonic-4-socket-extension-boards-with-single-switch-4m.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217694_1-anchor-by-panasonic-4-socket-extension-boards-with-single-switch-4m.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217694_1-anchor-by-panasonic-4-socket-extension-boards-with-single-switch-4m.jpg'}]"
40323377,"""40323377""",(CL57s Ink Cartridge)CANON[1]{ pc}<820>,CANON,1.0,pc,1,1, pc,820.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323377_1-canon-canon-cl57s-ink-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323377_1-canon-canon-cl57s-ink-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323377_1-canon-canon-cl57s-ink-cartridge.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323377-2_1-canon-canon-cl57s-ink-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323377-2_1-canon-canon-cl57s-ink-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323377-2_1-canon-canon-cl57s-ink-cartridge.jpg'}]"
40323378,"""40323378""",(Pixma PG-47 Ink Cartridge - Black)CANON[1]{ pc}<720>,CANON,1.0,pc,1,1, pc,720.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323378_1-canon-canon-pixma-pg47-black-ink-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323378_1-canon-canon-pixma-pg47-black-ink-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323378_1-canon-canon-pixma-pg47-black-ink-cartridge.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323378-2_1-canon-canon-pixma-pg47-black-ink-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323378-2_1-canon-canon-pixma-pg47-black-ink-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323378-2_1-canon-canon-pixma-pg47-black-ink-cartridge.jpg'}]"
40217692,"""40217692""","(3 Socket Extension Board - Plastic, 5208, 4 mtr, 6 Amps)Anchor by Panasonic[1]{ pc}<353>",Anchor by Panasonic,1.0,pc,1,1, pc,353.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40217692_4-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217692_4-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217692_4-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40217692-2_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217692-2_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217692-2_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40217692-3_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217692-3_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217692-3_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40217692-4_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217692-4_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217692-4_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg'}]"
40323381,"""40323381""",(680 Original Ink Advantage Cartridge - Tri-Colour)Hp[1]{ pc}<886>,Hp,1.0,pc,1,1, pc,886.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323381_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323381_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323381_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323381-2_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323381-2_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323381-2_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323381-3_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323381-3_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323381-3_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323381-4_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323381-4_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323381-4_1-hp-hp-680-tri-color-original-ink-advantage-cartridge.jpg'}]"
40323380,"""40323380""",(680 Original Ink Advantage Cartridge - Black)Hp[1]{ pc}<886>,Hp,1.0,pc,1,1, pc,886.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323380_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323380_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323380_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323380-2_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323380-2_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323380-2_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323380-3_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323380-3_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323380-3_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323380-4_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323380-4_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323380-4_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323380-5_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323380-5_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323380-5_1-hp-hp-680-original-ink-advantage-cartridge-black.jpg'}]"
40286071,"""40286071""",(Iclene Lens & Glass Cleaning Kit)Solo[1]{ pc}<298>,Solo,1.0,pc,1,1, pc,298.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40286071_2-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40286071_2-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40286071_2-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40286071-2_2-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40286071-2_2-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40286071-2_2-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40286071-3_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40286071-3_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40286071-3_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40286071-4_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40286071-4_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40286071-4_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40286071-5_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40286071-5_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40286071-5_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40286071-6_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40286071-6_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40286071-6_1-solo-optical-lens-cleaning-kit-for-lens-glass-cleans-all-gadget-surfaces-like-laptops-phones.jpg'}]"
40217693,"""40217693""","(Flexi CORD - Plastic, 5219, 8 mtr)Anchor by Panasonic[1]{ pc}<421>",Anchor by Panasonic,1.0,pc,1,1, pc,421.0,"Kitchen, Garden & Pets",Electronics & Devices ,Computer Peripherals,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40217693_1-anchor-by-panasonic-5219-flexicord-8-m-long-extension-cable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40217693_1-anchor-by-panasonic-5219-flexicord-8-m-long-extension-cable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40217693_1-anchor-by-panasonic-5219-flexicord-8-m-long-extension-cable.jpg'}]"
