Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40190870,"""40190870""","(Dinner Spoon - Classic Jazz Series, Stainless Steel, BBCL14)bb home[6]{ pcs}<279>",bb home,6.0,pc,1,6, pcs,279.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40190870_14-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190870_14-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190870_14-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190870-2_5-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190870-2_5-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190870-2_5-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190870-3_7-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190870-3_7-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190870-3_7-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190870-4_4-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190870-4_4-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190870-4_4-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190870-5_4-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190870-5_4-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190870-5_4-bb-home-stainless-steel-dinner-spoon-classic-jazz-series-bbcl14.jpg'}]"
40190867,"""40190867""","(Spoon - Small, Classic Jazz Series, Stainless Steel, BBCL11)bb home[6]{ pcs}<169>",bb home,6.0,pc,1,6, pcs,169.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40190867_12-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190867_12-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190867_12-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190867-2_6-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190867-2_6-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190867-2_6-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190867-3_7-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190867-3_7-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190867-3_7-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190867-4_4-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190867-4_4-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190867-4_4-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190867-5_4-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190867-5_4-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190867-5_4-bb-home-stainless-steel-spoon-small-classic-jazz-series-bbcl11.jpg'}]"
40190859,"""40190859""","(Fork - Medium, Premium Gem Series, Stainless Steel, BBCL03)bb home[6]{ pcs}<299>",bb home,6.0,pc,1,6, pcs,299.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40190859_14-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190859_14-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190859_14-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190859-2_6-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190859-2_6-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190859-2_6-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190859-3_8-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190859-3_8-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190859-3_8-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190859-4_5-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190859-4_5-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190859-4_5-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190859-5_5-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190859-5_5-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190859-5_5-bb-home-stainless-steel-fork-medium-premium-gem-series-bbcl03.jpg'}]"
40164617,"""8904126505420""",(Stainless Steel Soda Spoon - Wednesde)Anjali[6]{ pcs}<295>,Anjali,6.0,pc,1,6, pcs,295.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40164617_2-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164617_2-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164617_2-anjali-stainless-steel-soda-spoon-wednesde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40164617-2_2-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164617-2_2-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164617-2_2-anjali-stainless-steel-soda-spoon-wednesde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40164617-3_2-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164617-3_2-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164617-3_2-anjali-stainless-steel-soda-spoon-wednesde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40164617-4_1-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164617-4_1-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164617-4_1-anjali-stainless-steel-soda-spoon-wednesde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40164617-5_1-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164617-5_1-anjali-stainless-steel-soda-spoon-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164617-5_1-anjali-stainless-steel-soda-spoon-wednesde.jpg'}]"
40190869,"""8904256716970""","(Fork - Medium, Classic Jazz Series, Stainless Steel, BBCL13)bb home[6]{ pcs}<219>",bb home,6.0,pc,1,6, pcs,219.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40190869_13-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190869_13-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190869_13-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190869-2_7-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190869-2_7-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190869-2_7-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190869-3_8-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190869-3_8-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190869-3_8-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190869-4_5-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190869-4_5-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190869-4_5-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190869-5_6-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190869-5_6-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190869-5_6-bb-home-stainless-steel-fork-medium-classic-jazz-series-bbcl13.jpg'}]"
40190863,"""40190863""","(Spoon - Medium, Premium Excel Series, Stainless Steel, 6 BBCL07)BB Home[6]{ pcs}<299>",BB Home,6.0,pc,1,6, pcs,299.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40190863_13-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190863_13-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190863_13-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190863-2_5-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190863-2_5-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190863-2_5-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190863-3_7-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190863-3_7-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190863-3_7-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190863-4_4-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190863-4_4-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190863-4_4-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40190863-5_4-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40190863-5_4-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40190863-5_4-bb-home-stainless-steel-spoon-medium-premium-excel-series-bbcl07.jpg'}]"
40006405,"""8901200240027""",(ICECREAM SCOOP)Crystal[1]{ pc}<185>,Crystal,1.0,pc,1,1, pc,185.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40006405_4-crystal-ice-cream-scoop.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006405_4-crystal-ice-cream-scoop.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006405_4-crystal-ice-cream-scoop.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006405-2_1-crystal-ice-cream-scoop.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006405-2_1-crystal-ice-cream-scoop.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006405-2_1-crystal-ice-cream-scoop.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006405-3_1-crystal-ice-cream-scoop.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006405-3_1-crystal-ice-cream-scoop.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006405-3_1-crystal-ice-cream-scoop.jpg'}]"
40164609,"""8904126505413""",(Stainless Steel Butter Knife - Wednesde)Anjali[2]{ pcs}<90>,Anjali,2.0,pc,1,2, pcs,90.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40164609_4-anjali-stainless-steel-butter-knife-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164609_4-anjali-stainless-steel-butter-knife-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164609_4-anjali-stainless-steel-butter-knife-wednesde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40164609-2_4-anjali-stainless-steel-butter-knife-wednesde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40164609-2_4-anjali-stainless-steel-butter-knife-wednesde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40164609-2_4-anjali-stainless-steel-butter-knife-wednesde.jpg'}]"
40114266,"""40114266""","(Steel Spoon set - Tea, Monde)Anjali[6]{ pcs}<190>",Anjali,6.0,pc,1,6, pcs,190.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266_3-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266_3-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266_3-anjali-steel-spoon-set-tea-monde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266-2_1-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266-2_1-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266-2_1-anjali-steel-spoon-set-tea-monde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266-3_1-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266-3_1-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266-3_1-anjali-steel-spoon-set-tea-monde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266-4_1-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266-4_1-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266-4_1-anjali-steel-spoon-set-tea-monde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266-5_1-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266-5_1-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266-5_1-anjali-steel-spoon-set-tea-monde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266-6_1-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266-6_1-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266-6_1-anjali-steel-spoon-set-tea-monde.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114266-7_1-anjali-steel-spoon-set-tea-monde.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114266-7_1-anjali-steel-spoon-set-tea-monde.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114266-7_1-anjali-steel-spoon-set-tea-monde.jpg'}]"
40242348,"""40242348""","(Stainless Steel 14 Cm Tea Spoon - Saree, For Stirring & Measuring)Petals[6]{ pcs}<169>",Petals,6.0,pc,1,6, pcs,169.0,"Kitchen, Garden & Pets",Crockery & Cutlery,"Cutlery, Spoon & Fork",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242348_1-petals-stainless-steel-tea-spoon-14-cm-saree-highly-polished-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242348_1-petals-stainless-steel-tea-spoon-14-cm-saree-highly-polished-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242348_1-petals-stainless-steel-tea-spoon-14-cm-saree-highly-polished-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242348-2_1-petals-stainless-steel-tea-spoon-14-cm-saree-highly-polished-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242348-2_1-petals-stainless-steel-tea-spoon-14-cm-saree-highly-polished-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242348-2_1-petals-stainless-steel-tea-spoon-14-cm-saree-highly-polished-finish.jpg'}]"
