Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40178817,"""89040279832299""","(Dinner Set - Opalware, Blue Swirl, Dazzle, White)Cello[23]{ pcs}<2795>",Cello,23.0,pc,1,23, pcs,2795.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40178817_5-cello-opalware-dinner-set-dazzle-blue-swirl.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178817_5-cello-opalware-dinner-set-dazzle-blue-swirl.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178817_5-cello-opalware-dinner-set-dazzle-blue-swirl.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178817-2_1-cello-opalware-dinner-set-dazzle-blue-swirl.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178817-2_1-cello-opalware-dinner-set-dazzle-blue-swirl.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178817-2_1-cello-opalware-dinner-set-dazzle-blue-swirl.jpg'}]"
40157902,"""8904279853232""","(Dinner Set - Opalware, Tropical Lagoon, Dazzle, White)Cello[18]{ pcs}<2099>",Cello,18.0,pc,1,18, pcs,2099.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40157902_7-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40157902_7-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40157902_7-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40157902-2_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40157902-2_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40157902-2_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40157902-3_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40157902-3_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40157902-3_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40157902-4_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40157902-4_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40157902-4_1-cello-dinner-set-opalware-tropical-lagoon-dazzle.jpg'}]"
40175082,"""40175082""","(Dinner Set - Opalware, Novo, Lush Green)LaOpala[23]{ pcs}<2695>",LaOpala,23.0,pc,1,23, pcs,2695.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40175082_5-laopala-laopala-opalware-dinner-set-wl-lush-greens.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40175082_5-laopala-laopala-opalware-dinner-set-wl-lush-greens.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40175082_5-laopala-laopala-opalware-dinner-set-wl-lush-greens.jpg'}]"
40199610,"""8904279895171""","(Dinner Set - Opalware, Livid Lilac, Dazzle, White)Cello[18]{ pcs}<2099>",Cello,18.0,pc,1,18, pcs,2099.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40199610_5-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199610_5-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199610_5-cello-dazzle-livid-lilac-dinner-set-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199610-2_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199610-2_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199610-2_1-cello-dazzle-livid-lilac-dinner-set-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199610-3_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199610-3_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199610-3_1-cello-dazzle-livid-lilac-dinner-set-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199610-4_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199610-4_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199610-4_1-cello-dazzle-livid-lilac-dinner-set-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199610-5_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199610-5_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199610-5_1-cello-dazzle-livid-lilac-dinner-set-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40199610-6_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40199610-6_1-cello-dazzle-livid-lilac-dinner-set-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40199610-6_1-cello-dazzle-livid-lilac-dinner-set-white.jpg'}]"
40274429,"""8904350433186""","(Dinner Set - Opalware, Dazzle Bamboo Grove, White)Cello[19]{ pcs}<2319>",Cello,19.0,pc,1,19, pcs,2319.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40274429_3-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274429_3-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274429_3-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274429-2_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274429-2_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274429-2_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274429-3_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274429-3_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274429-3_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274429-4_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274429-4_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274429-4_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274429-5_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274429-5_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274429-5_1-cello-cello-pack-of-19-opalware-opalware-dazzle-bamboo-grove-dinner-set-19pcs-dinner-set-microwave-safe-12-vb.jpg'}]"
40221736,"""8904279800311""","(Dinner Set - Opalware, Aqua Leaves, White)Cello[10]{ pcs}<1425>",Cello,10.0,pc,1,10, pcs,1425.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736_1-cello-opalware-dinner-set-aqua-leaves.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736-2_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736-2_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736-2_1-cello-opalware-dinner-set-aqua-leaves.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736-3_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736-3_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736-3_1-cello-opalware-dinner-set-aqua-leaves.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736-4_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736-4_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736-4_1-cello-opalware-dinner-set-aqua-leaves.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736-5_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736-5_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736-5_1-cello-opalware-dinner-set-aqua-leaves.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736-6_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736-6_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736-6_1-cello-opalware-dinner-set-aqua-leaves.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221736-7_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221736-7_1-cello-opalware-dinner-set-aqua-leaves.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221736-7_1-cello-opalware-dinner-set-aqua-leaves.jpg'}]"
40221738,"""8904279800434""","(Dinner Set - Opalware, Orange Lilly Design, White)Cello[10]{ pcs}<1425>",Cello,10.0,pc,1,10, pcs,1425.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738_1-cello-opalware-dinner-set-orange-lilly.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738-2_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738-2_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738-2_1-cello-opalware-dinner-set-orange-lilly.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738-3_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738-3_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738-3_1-cello-opalware-dinner-set-orange-lilly.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738-4_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738-4_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738-4_1-cello-opalware-dinner-set-orange-lilly.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738-5_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738-5_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738-5_1-cello-opalware-dinner-set-orange-lilly.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738-6_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738-6_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738-6_1-cello-opalware-dinner-set-orange-lilly.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40221738-7_1-cello-opalware-dinner-set-orange-lilly.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40221738-7_1-cello-opalware-dinner-set-orange-lilly.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40221738-7_1-cello-opalware-dinner-set-orange-lilly.jpg'}]"
40133394,"""40133394""",(Opalware Ivory Dinner Set - Golden Fall)Laopala Diva[19]{ pcs}<2695>,Laopala Diva,19.0,pc,1,19, pcs,2695.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40133394_4-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40133394_4-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40133394_4-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40133394-2_3-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40133394-2_3-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40133394-2_3-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40133394-3_3-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40133394-3_3-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40133394-3_3-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40133394-4_2-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40133394-4_2-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40133394-4_2-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40133394-5_2-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40133394-5_2-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40133394-5_2-laopala-diva-opalware-ivory-dinner-set-golden-fall.jpg'}]"
40114506,"""8906052040372""","(Dinner Set - Melamine, Mariya, M3, White)Wood & Kemp[32]{ pcs}<3895>",Wood & Kemp,32.0,pc,1,32, pcs,3895.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114506_1-wood-kemp-dinner-set-mariya-melamine-m3.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114506_1-wood-kemp-dinner-set-mariya-melamine-m3.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114506_1-wood-kemp-dinner-set-mariya-melamine-m3.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114506-2_1-wood-kemp-dinner-set-mariya-melamine-m3.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114506-2_1-wood-kemp-dinner-set-mariya-melamine-m3.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114506-2_1-wood-kemp-dinner-set-mariya-melamine-m3.jpg'}]"
40227561,"""40227561""","(Dinner Set - Opalware, Tropical Lagoon, Dazzle, White)Cello[5]{ pcs}<899>",Cello,5.0,pc,1,5, pcs,899.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Dinner Sets,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-2_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-2_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-2_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-3_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-3_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-3_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-4_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-4_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-4_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-5_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-5_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-5_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-6_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-6_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-6_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-7_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-7_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-7_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40227561-8_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40227561-8_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40227561-8_1-cello-opalware-dazzle-dinner-set-tropical-lagoon-serves-2-white.jpg'}]"
