Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40009093,"""40009093""",(Garden Cultivator)NATURES PLUS[1]{ pc}<180>,NATURES PLUS,1.0,pc,1,1, pc,180.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40009093_2-natures-plus-garden-cultivator.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009093_2-natures-plus-garden-cultivator.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009093_2-natures-plus-garden-cultivator.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009093-2_1-natures-plus-garden-cultivator.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009093-2_1-natures-plus-garden-cultivator.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009093-2_1-natures-plus-garden-cultivator.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009093-3_1-natures-plus-garden-cultivator.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009093-3_1-natures-plus-garden-cultivator.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009093-3_1-natures-plus-garden-cultivator.jpg'}]"
40267487,"""40267487""","(Small Garden Trowel - With Comfortable Grip, Anti Rust, Durable, Black)NATURES PLUS[1]{ pc}<180>",NATURES PLUS,1.0,pc,1,1, pc,180.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40267487_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267487_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267487_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267487-2_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267487-2_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267487-2_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267487-3_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267487-3_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267487-3_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267487-4_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267487-4_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267487-4_2-natures-plus-small-garden-trowel-with-comfortable-grip-anti-rust-durable-black.jpg'}]"
40008616,"""23740488""",(Pressure Sprayer-Assorted color)NATURES PLUS[1.5]{ L}<410>,NATURES PLUS,1500.0,ml,1,1.5, L,410.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40008616_8-natures-plus-pressure-sprayer-assorted-color.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008616_8-natures-plus-pressure-sprayer-assorted-color.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008616_8-natures-plus-pressure-sprayer-assorted-color.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008616-2_8-natures-plus-pressure-sprayer-assorted-color.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008616-2_8-natures-plus-pressure-sprayer-assorted-color.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008616-2_8-natures-plus-pressure-sprayer-assorted-color.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008616-3_8-natures-plus-pressure-sprayer-assorted-color.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008616-3_8-natures-plus-pressure-sprayer-assorted-color.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008616-3_8-natures-plus-pressure-sprayer-assorted-color.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008616-4_1-natures-plus-pressure-sprayer-assorted-color.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008616-4_1-natures-plus-pressure-sprayer-assorted-color.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008616-4_1-natures-plus-pressure-sprayer-assorted-color.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008616-5_1-natures-plus-pressure-sprayer-assorted-color.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008616-5_1-natures-plus-pressure-sprayer-assorted-color.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008616-5_1-natures-plus-pressure-sprayer-assorted-color.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008616-6_1-natures-plus-pressure-sprayer-assorted-color.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008616-6_1-natures-plus-pressure-sprayer-assorted-color.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008616-6_1-natures-plus-pressure-sprayer-assorted-color.jpg'}]"
40184868,"""40184868""","(Premium Safety Latex Coating Gloves - White Shell With Grey Crinkle Finish, 10 cm)Spartan[1]{ pair}<249>",Spartan,2.0,pc,1,1, pair,249.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184868_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184868_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184868_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184868-2_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184868-2_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184868-2_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184868-3_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184868-3_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184868-3_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184868-4_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184868-4_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184868-4_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184868-5_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184868-5_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184868-5_2-spartan-premium-safety-latex-coating-gloves-white-shell-with-grey-crinkle-finish-10-cm.jpg'}]"
40009094,"""40009094""",(Hand Trowel - Big)NATURES PLUS[1]{ pc}<180>,NATURES PLUS,1.0,pc,1,1, pc,180.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40009094_2-natures-plus-hand-trowel-big.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009094_2-natures-plus-hand-trowel-big.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009094_2-natures-plus-hand-trowel-big.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009094-2_1-natures-plus-hand-trowel-big.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009094-2_1-natures-plus-hand-trowel-big.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009094-2_1-natures-plus-hand-trowel-big.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009094-3_1-natures-plus-hand-trowel-big.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009094-3_1-natures-plus-hand-trowel-big.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009094-3_1-natures-plus-hand-trowel-big.jpg'}]"
40013166,"""8906089731977""","(Rubber Gloves - Garden, Yellow)NATURES PLUS[1]{ pair}<75>",NATURES PLUS,2.0,pc,1,1, pair,75.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40013166_2-natures-plus-rubber-gloves-garden-yellow.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013166_2-natures-plus-rubber-gloves-garden-yellow.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013166_2-natures-plus-rubber-gloves-garden-yellow.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013166-2_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013166-2_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013166-2_1-natures-plus-rubber-gloves-garden-yellow.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013166-3_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013166-3_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013166-3_1-natures-plus-rubber-gloves-garden-yellow.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013166-4_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013166-4_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013166-4_1-natures-plus-rubber-gloves-garden-yellow.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013166-5_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013166-5_1-natures-plus-rubber-gloves-garden-yellow.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013166-5_1-natures-plus-rubber-gloves-garden-yellow.jpg'}]"
40013165,"""400484942795""","(Rubber Gloves - green, Medium, 20 cm)NATURES PLUS[1]{ pair}<180>",NATURES PLUS,2.0,pc,1,1, pair,180.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40013165_2-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013165_2-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013165_2-natures-plus-rubber-gloves-blue-large-12-inches.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013165-2_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013165-2_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013165-2_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013165-3_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013165-3_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013165-3_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013165-4_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013165-4_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013165-4_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40013165-5_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40013165-5_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40013165-5_1-natures-plus-rubber-gloves-blue-large-12-inches.jpg'}]"
40267488,"""402674880001""","(Garden Cultivator 3 Teeth - Sturdy Handle, Comfortable Grip, Black)NATURES PLUS[1]{ pc}<180>",NATURES PLUS,1.0,pc,1,1, pc,180.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40267488_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267488_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267488_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267488-2_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267488-2_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267488-2_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267488-3_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267488-3_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267488-3_2-natures-plus-garden-cultivator-3-teeth-sturdy-handle-comfortable-grip-black.jpg'}]"
40267496,"""8906089731991""",(Pruning Shears)NATURES PLUS[1]{ pc}<410>,NATURES PLUS,1.0,pc,1,1, pc,410.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40267496_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267496_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267496_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267496-2_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267496-2_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267496-2_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267496-3_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267496-3_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267496-3_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267496-4_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267496-4_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267496-4_3-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267496-5_2-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267496-5_2-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267496-5_2-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267496-6_1-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267496-6_1-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267496-6_1-natures-plus-pruning-shearscutter-durable-sturdy-strong-blade-soft-grip-handle.jpg'}]"
40233617,"""40233617""","(Garden Tool - Khurpa, Aluminium, 8 cm)Klassic[1]{ pc}<199>",Klassic,1.0,pc,1,1, pc,199.0,"Kitchen, Garden & Pets",Gardening,Gardening Tools,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40233617_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40233617_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40233617_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40233617-2_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40233617-2_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40233617-2_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40233617-3_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40233617-3_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40233617-3_3-klassic-garden-tool-khurpa-aluminium-3-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40233617-4_1-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40233617-4_1-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40233617-4_1-klassic-garden-tool-khurpa-aluminium-3-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40233617-5_1-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40233617-5_1-klassic-garden-tool-khurpa-aluminium-3-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40233617-5_1-klassic-garden-tool-khurpa-aluminium-3-inch.jpg'}]"
