Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40183559,"""40183559""","(Glass Jar - With Blue Lid, Square, Pantry/Cookie/Snacks)Yera[1.1]{ L}<305>",Yera,1100.0,ml,1,1.1, L,305.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183559_13-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183559_13-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183559_13-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183559-2_10-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183559-2_10-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183559-2_10-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183559-3_4-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183559-3_4-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183559-3_4-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183559-4_3-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183559-4_3-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183559-4_3-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183559-5_1-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183559-5_1-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183559-5_1-yera-glass-jar-with-blue-lid-square-pantrycookiesnacks.jpg'}]"
40183521,"""40183521""",(Glass Bowl Set With Lids - Transparent)Yera[435]{ ml}<210>,Yera,435.0,ml,1,435, ml,210.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183521_10-yera-glass-bowl-with-lid-polo.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183521_10-yera-glass-bowl-with-lid-polo.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183521_10-yera-glass-bowl-with-lid-polo.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183521-2_9-yera-glass-bowl-with-lid-polo.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183521-2_9-yera-glass-bowl-with-lid-polo.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183521-2_9-yera-glass-bowl-with-lid-polo.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183521-3_9-yera-glass-bowl-with-lid-polo.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183521-3_9-yera-glass-bowl-with-lid-polo.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183521-3_9-yera-glass-bowl-with-lid-polo.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183521-4_8-yera-glass-bowl-with-lid-polo.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183521-4_8-yera-glass-bowl-with-lid-polo.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183521-4_8-yera-glass-bowl-with-lid-polo.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183521-5_9-yera-glass-bowl-with-lid-polo.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183521-5_9-yera-glass-bowl-with-lid-polo.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183521-5_9-yera-glass-bowl-with-lid-polo.jpg'}]"
40218145,"""40218145""",(Glass Storage Jar - With Bamboo Lid)Deli[1.4]{ l}<640>,Deli,1400.0,ml,1,1.4, l,640.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40218145_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218145_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218145_2-deli-glass-storage-jar-with-bamboo-lid.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40218145-2_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218145-2_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218145-2_2-deli-glass-storage-jar-with-bamboo-lid.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40218145-3_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218145-3_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218145-3_2-deli-glass-storage-jar-with-bamboo-lid.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40218145-4_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218145-4_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218145-4_2-deli-glass-storage-jar-with-bamboo-lid.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40218145-5_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40218145-5_2-deli-glass-storage-jar-with-bamboo-lid.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40218145-5_2-deli-glass-storage-jar-with-bamboo-lid.jpg'}]"
40274403,"""8901372197041""","(Glass Jar For Storage With See Through Lid - Borosilicate, Qube)Cello[1]{ L}<550>",Cello,1000.0,ml,1,1, L,550.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403_5-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403_5-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403_5-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-2_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-2_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-2_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-3_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-3_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-3_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-4_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-4_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-4_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-5_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-5_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-5_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-6_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-6_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-6_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-7_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-7_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-7_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-8_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-8_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-8_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274403-9_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274403-9_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274403-9_2-cello-cello-qube-fresh-storage-jar-set-of-21000ml-x-2.jpg'}]"
40207443,"""8850222000157""","(San Marino Hi Ball Glass Set - Transparent, B00410)Ocean[290]{ ml}<607>",Ocean,290.0,ml,1,290, ml,607.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40207443_2-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207443_2-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207443_2-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207443-2_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207443-2_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207443-2_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207443-3_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207443-3_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207443-3_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207443-4_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207443-4_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207443-4_1-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207443-5_2-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207443-5_2-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207443-5_2-ocean-san-marino-hi-ball-glass-set-transparent-b00410.jpg'}]"
40088777,"""40088777""","(Glass Jar For Storage With Metal Lid - Transparent, Cube)Treo[310]{ ml}<365>",Treo,310.0,ml,1,310, ml,365.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40088777_8-treo-cube-storage-glass-jar.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40088777_8-treo-cube-storage-glass-jar.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40088777_8-treo-cube-storage-glass-jar.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40088777-2_4-treo-cube-storage-glass-jar.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40088777-2_4-treo-cube-storage-glass-jar.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40088777-2_4-treo-cube-storage-glass-jar.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40088777-3_2-treo-cube-storage-glass-jar.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40088777-3_2-treo-cube-storage-glass-jar.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40088777-3_2-treo-cube-storage-glass-jar.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40088777-4_2-treo-cube-storage-glass-jar.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40088777-4_2-treo-cube-storage-glass-jar.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40088777-4_2-treo-cube-storage-glass-jar.jpg'}]"
40212067,"""40212067""","(Glass Jug/Carafe/Bottle/Kosem - Bistro, Clear)Pasabahce[1.8]{ l}<775>",Pasabahce,1800.0,ml,1,1.8, l,775.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40212067_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212067_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212067_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212067-2_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212067-2_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212067-2_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212067-3_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212067-3_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212067-3_3-pasabahce-bistro-glass-waterjuice-jug-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212067-4_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212067-4_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212067-4_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212067-5_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212067-5_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212067-5_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212067-6_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212067-6_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212067-6_2-pasabahce-bistro-glass-waterjuice-jug-clear.jpg'}]"
40183530,"""40183530""",(Tea/Coffee Glass Mug Set)Yera[120]{ ml}<275>,Yera,120.0,ml,1,120, ml,275.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183530_8-yera-teacoffee-glass-mug-set.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183530_8-yera-teacoffee-glass-mug-set.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183530_8-yera-teacoffee-glass-mug-set.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183530-2_1-yera-teacoffee-glass-mug-set.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183530-2_1-yera-teacoffee-glass-mug-set.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183530-2_1-yera-teacoffee-glass-mug-set.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183530-3_1-yera-teacoffee-glass-mug-set.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183530-3_1-yera-teacoffee-glass-mug-set.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183530-3_1-yera-teacoffee-glass-mug-set.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183530-4_1-yera-teacoffee-glass-mug-set.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183530-4_1-yera-teacoffee-glass-mug-set.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183530-4_1-yera-teacoffee-glass-mug-set.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183530-5_1-yera-teacoffee-glass-mug-set.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183530-5_1-yera-teacoffee-glass-mug-set.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183530-5_1-yera-teacoffee-glass-mug-set.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183530-6_1-yera-teacoffee-glass-mug-set.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183530-6_1-yera-teacoffee-glass-mug-set.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183530-6_1-yera-teacoffee-glass-mug-set.jpg'}]"
40240385,"""40240385""","(Glass Mixing/Serving Bowl With Lid - Oven & Microwave Proof, Clear)Borosil[1.3]{ L}<595>",Borosil,1300.0,ml,1,1.3, L,595.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385_3-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385_3-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385_3-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-2_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-2_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-2_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-3_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-3_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-3_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-4_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-4_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-4_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-5_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-5_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-5_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-6_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-6_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-6_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-7_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-7_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-7_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40240385-8_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40240385-8_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40240385-8_1-borosil-glass-mixingserving-bowl-with-lid-oven-microwave-proof-clear.jpg'}]"
40207577,"""40207577""",(Glass Jar Set With Blue Printed Lids - Small)Yera[245]{ ml}<150>,Yera,245.0,ml,1,245, ml,150.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Glassware,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40207577_3-yera-small-jars-set-with-printed-lids.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207577_3-yera-small-jars-set-with-printed-lids.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207577_3-yera-small-jars-set-with-printed-lids.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207577-2_2-yera-small-jars-set-with-printed-lids.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207577-2_2-yera-small-jars-set-with-printed-lids.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207577-2_2-yera-small-jars-set-with-printed-lids.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207577-3_2-yera-small-jars-set-with-printed-lids.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207577-3_2-yera-small-jars-set-with-printed-lids.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207577-3_2-yera-small-jars-set-with-printed-lids.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207577-4_2-yera-small-jars-set-with-printed-lids.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207577-4_2-yera-small-jars-set-with-printed-lids.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207577-4_2-yera-small-jars-set-with-printed-lids.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40207577-5_2-yera-small-jars-set-with-printed-lids.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40207577-5_2-yera-small-jars-set-with-printed-lids.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40207577-5_2-yera-small-jars-set-with-printed-lids.jpg'}]"
