Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40212023,"""40212023""","(Marble Chakla/Roti Maker, Pol Pat Jointless)Stoneware[1.8]{ kg}<695>",Stoneware,1800.0,g,1,1.8, kg,695.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-2_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-2_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-2_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-3_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-3_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-3_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-4_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-4_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-4_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-5_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-5_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-5_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-6_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-6_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-6_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-7_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-7_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-7_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-8_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-8_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-8_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}]"
40242388,"""40242388""","(Wooden Chakla/Chapati Maker/Polpat/Cutting Board - 26 Cm Diameter, Multipurpose Kitchen Essential)Petals[1]{ pc}<339>",Petals,1.0,pc,1,1, pc,339.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242388_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242388_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242388_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242388-2_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242388-2_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242388-2_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg'}]"
40208110,"""40208110""","(Utensils-Dish Drainer/Basket/Drying Rack - Round, Medium, Stainless Steel, VR10245)HAZEL[1]{ pc}<1999>",HAZEL,1.0,pc,1,1, pc,1999.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-2_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-2_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-2_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-3_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-3_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-3_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-4_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-4_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-4_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-5_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-5_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-5_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}]"
40117688,"""40117688""",(Massage Bag - Hot Water & Ice)Kvg[1]{ pc}<299>,Kvg,1.0,pc,1,1, pc,299.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117688_2-kvg-massage-bag-hot-water-ice.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117688_2-kvg-massage-bag-hot-water-ice.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117688_2-kvg-massage-bag-hot-water-ice.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40117688-2_1-kvg-massage-bag-hot-water-ice.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117688-2_1-kvg-massage-bag-hot-water-ice.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117688-2_1-kvg-massage-bag-hot-water-ice.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40117688-3_1-kvg-massage-bag-hot-water-ice.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117688-3_1-kvg-massage-bag-hot-water-ice.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117688-3_1-kvg-massage-bag-hot-water-ice.jpg'}]"
40168266,"""40168266""",(Kvg kharalmortar-pestle-setokhli-musal-no-4-white-marble 1 pc)Kvg[1]{ pc}<499>,Kvg,1.0,pc,1,1, pc,499.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40168266_1-kvg-kvg-kharalmortar-pestle-setokhli-musal-no-4-white-marble-1-pc.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40168266_1-kvg-kvg-kharalmortar-pestle-setokhli-musal-no-4-white-marble-1-pc.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40168266_1-kvg-kvg-kharalmortar-pestle-setokhli-musal-no-4-white-marble-1-pc.jpg'}]"
40242359,"""40242359""","(Stainless Steel Egg Whisk/Beater/Cake Batter Whisker 25 Cm, Kitchen Essential)Petals[1]{ pc}<129>",Petals,1.0,pc,1,1, pc,129.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242359_4-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242359_4-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242359_4-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242359-2_4-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242359-2_4-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242359-2_4-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242359-3_1-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242359-3_1-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242359-3_1-petals-stainless-steel-beaterwhisker-highly-polished-finish-sturdy.jpg'}]"
40120503,"""894126503884""","(Gas Cylinder Trolley - Round, Plastic, Sturdy Wheels, Leaves No Scratches)Anjali[1]{ pc}<225>",Anjali,1.0,pc,1,1, pc,225.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40120503_7-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120503_7-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120503_7-anjali-cylinder-trolley-round-super-gas-plastic.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40120503-2_4-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120503-2_4-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120503-2_4-anjali-cylinder-trolley-round-super-gas-plastic.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40120503-3_3-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120503-3_3-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120503-3_3-anjali-cylinder-trolley-round-super-gas-plastic.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40120503-4_3-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40120503-4_3-anjali-cylinder-trolley-round-super-gas-plastic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40120503-4_3-anjali-cylinder-trolley-round-super-gas-plastic.jpg'}]"
40242357,"""40242357""","(Stainless Steel Vegetable Potato Pav Bhaji Masher Presser - 25 Cmx8.5 Cm, Kitchen Essential)Petals[1]{ pc}<169>",Petals,1.0,pc,1,1, pc,169.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242357_4-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242357_4-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242357_4-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242357-2_4-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242357-2_4-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242357-2_4-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242357-3_1-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242357-3_1-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242357-3_1-petals-stainless-steel-vegatable-masherpresser-25-cm-x-85-cm-highly-polished-finish-sturdy.jpg'}]"
40237979,"""40237979""","(Kitchen Combo Set - Apron With Front Pocket & Cap, Cotton, Check Pattern, Black)JBG Home Store[1]{ pc}<299>",JBG Home Store,1.0,pc,1,1, pc,299.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40237979_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40237979_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40237979_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40237979-2_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40237979-2_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40237979-2_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40237979-3_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40237979-3_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40237979-3_2-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40237979-4_1-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40237979-4_1-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40237979-4_1-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40237979-5_1-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40237979-5_1-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40237979-5_1-jbg-home-store-kitchen-combo-set-apron-with-front-pocket-cap-cotton-check-pattern-black.jpg'}]"
40301354,"""40301354""","(2 In 1 Lemon Squeezer - Plastic, Kitchen Tool, Rust Proof)Ritu[1]{ pc}<105>",Ritu,1.0,pc,1,1, pc,105.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40301354_1-ritu-2-in-1-lemon-squeezer-plastic-kitchen-tool-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40301354_1-ritu-2-in-1-lemon-squeezer-plastic-kitchen-tool-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40301354_1-ritu-2-in-1-lemon-squeezer-plastic-kitchen-tool-rust-proof.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40301354-2_1-ritu-2-in-1-lemon-squeezer-plastic-kitchen-tool-rust-proof.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40301354-2_1-ritu-2-in-1-lemon-squeezer-plastic-kitchen-tool-rust-proof.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40301354-2_1-ritu-2-in-1-lemon-squeezer-plastic-kitchen-tool-rust-proof.jpg'}]"
