Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40242365,"""40242365""","(Stainless Steel Kitchen Vegetable/Fruit Y Shaped Peeler, Kitchen Essential)Petals[1]{ pc}<179>",Petals,1.0,pc,1,1, pc,179.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242365_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242365_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242365_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242365-2_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242365-2_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242365-2_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242365-3_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242365-3_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242365-3_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg'}]"
40114251,"""40114251""","(Peeler - For Vegetable & Fruits, Gilleto)Anjali[1]{ pc}<65>",Anjali,1.0,pc,1,1, pc,65.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114251_4-anjali-peeler-gilleto.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114251_4-anjali-peeler-gilleto.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114251_4-anjali-peeler-gilleto.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114251-2_2-anjali-peeler-gilleto.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114251-2_2-anjali-peeler-gilleto.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114251-2_2-anjali-peeler-gilleto.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114251-3_2-anjali-peeler-gilleto.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114251-3_2-anjali-peeler-gilleto.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114251-3_2-anjali-peeler-gilleto.jpg'}]"
40290399,"""40290399""","(Straight Peeler - Strong, Durable, For Home & Kitchen, 1101.1, 165 mm)Kohe[1]{ pc}<60>",Kohe,1.0,pc,1,1, pc,60.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40290399_1-kohe-straight-peeler-strong-durable-for-home-kitchen-11011-165-mm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40290399_1-kohe-straight-peeler-strong-durable-for-home-kitchen-11011-165-mm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40290399_1-kohe-straight-peeler-strong-durable-for-home-kitchen-11011-165-mm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40290399-2_1-kohe-straight-peeler-strong-durable-for-home-kitchen-11011-165-mm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40290399-2_1-kohe-straight-peeler-strong-durable-for-home-kitchen-11011-165-mm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40290399-2_1-kohe-straight-peeler-strong-durable-for-home-kitchen-11011-165-mm.jpg'}]"
40197168,"""40197168""","(Premium Serrated Kitchen Knife - Large, Multipurpose, Stainless Steel, BBPK03)bb home[1]{ pc}<195>",bb home,1.0,PC,1,1, pc,195.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168_10-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168_10-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168_10-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-2_3-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-2_3-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-2_3-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-3_3-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-3_3-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-3_3-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-4_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-4_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-4_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-5_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-5_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-5_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-6_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-6_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-6_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-7_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-7_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-7_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197168-8_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197168-8_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197168-8_2-bb-home-premium-stainless-steel-serrated-kitchen-knife-large-multipurpose-bbpk03.jpg'}]"
40197167,"""40197167""","(Premium Kitchen Knife - Large, Multipurpose, Stainless Steel, BBPK02)bb home[1]{ pc}<210>",bb home,1.0,PC,1,1, pc,210.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167_13-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167_13-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167_13-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167-2_6-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167-2_6-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167-2_6-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167-3_6-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167-3_6-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167-3_6-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167-4_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167-4_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167-4_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167-5_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167-5_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167-5_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167-6_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167-6_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167-6_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40197167-7_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40197167-7_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40197167-7_4-bb-home-premium-stainless-steel-kitchen-knife-large-multipurpose-bbpk02.jpg'}]"
40114219,"""40114219""","(Peeler - For Fruits & Vegetables, Royal)Anjali[1]{ pc}<57>",Anjali,1.0,pc,1,1, pc,57.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114219_4-anjali-royal-peeler.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114219_4-anjali-royal-peeler.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114219_4-anjali-royal-peeler.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114219-2_2-anjali-royal-peeler.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114219-2_2-anjali-royal-peeler.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114219-2_2-anjali-royal-peeler.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114219-3_2-anjali-royal-peeler.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114219-3_2-anjali-royal-peeler.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114219-3_2-anjali-royal-peeler.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114219-4_1-anjali-royal-peeler.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114219-4_1-anjali-royal-peeler.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114219-4_1-anjali-royal-peeler.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114219-5_1-anjali-royal-peeler.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114219-5_1-anjali-royal-peeler.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114219-5_1-anjali-royal-peeler.jpg'}]"
40119090,"""9572107702923""",(Pointed Knife with Steel Handle - Stainless steel)Xishifeng[1]{ pc}<325>,Xishifeng,1.0,pc,1,1, pc,325.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40119090_2-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119090_2-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119090_2-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119090-2_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119090-2_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119090-2_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119090-3_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119090-3_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119090-3_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40119090-4_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40119090-4_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40119090-4_1-xishifeng-pointed-knife-with-steel-handle-stainless-steel.jpg'}]"
40242310,"""40242310""","(Utility Knife Soft Grip - 23 Cm Length, 13 Cm Blade Length, Kitchen Essential For Vegetables & Fruits)Petals[1]{ pc}<90>",Petals,1.0,pc,1,1, pc,90.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242310_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242310_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242310_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242310-2_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242310-2_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242310-2_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242310-3_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242310-3_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242310-3_4-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242310-4_1-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242310-4_1-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242310-4_1-petals-utility-knife-soft-grip-23-cm-length-sturdy.jpg'}]"
40317894,"""8904126513906""","(Olive Knife Set - Universal Knife, Utility Lazer Knife, Utility Veg Knife)Anjali[3]{ pcs}<335>",Anjali,3.0,pc,1,3, pcs,335.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317894_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317894_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317894_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317894-2_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317894-2_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317894-2_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317894-3_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317894-3_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317894-3_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317894-4_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317894-4_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317894-4_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317894-5_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317894-5_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317894-5_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317894-6_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317894-6_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317894-6_1-anjali-3pcs-olive-knife-set-olive-universal-knife-olive-utility-lazer-knife-olive-utility-veg-knife.jpg'}]"
40290397,"""40290397""","(Standard Serrated Knife - Strong, Durable, For Home & Kitchen, 1235.2, 188 mm)Kohe[1]{ pc}<60>",Kohe,1.0,pc,1,1, pc,60.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40290397_1-kohe-standard-serrated-knife-strong-durable-for-home-kitchen-12352-188-mm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40290397_1-kohe-standard-serrated-knife-strong-durable-for-home-kitchen-12352-188-mm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40290397_1-kohe-standard-serrated-knife-strong-durable-for-home-kitchen-12352-188-mm.jpg'}]"
