Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40114223,"""40114223""","(Gas Lighter - Stainless Steel, Long-Lasting)Anjali[1]{ pc}<160>",Anjali,1.0,pc,1,1, pc,160.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114223_2-anjali-gas-lighter-stainless-steel-super.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114223_2-anjali-gas-lighter-stainless-steel-super.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114223_2-anjali-gas-lighter-stainless-steel-super.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114223-2_1-anjali-gas-lighter-stainless-steel-super.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114223-2_1-anjali-gas-lighter-stainless-steel-super.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114223-2_1-anjali-gas-lighter-stainless-steel-super.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114223-3_1-anjali-gas-lighter-stainless-steel-super.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114223-3_1-anjali-gas-lighter-stainless-steel-super.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114223-3_1-anjali-gas-lighter-stainless-steel-super.jpg'}]"
40117714,"""8906079857982""","(Gas Lighter - Stainless Steel, Size-No .1)Kvg[1]{ pc}<79>",Kvg,1.0,pc,1,1, pc,79.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117714_1-kvg-gas-lighter-stainless-steel-size-no-1.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117714_1-kvg-gas-lighter-stainless-steel-size-no-1.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117714_1-kvg-gas-lighter-stainless-steel-size-no-1.jpg'}]"
40021969,"""8904420501890""","(ABS Plastic Refillable Gas Lighter, 27.5 Cm, Child Lock Feature)Fackelmann[1]{ pc}<199>",Fackelmann,1.0,pc,1,1, pc,199.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969_6-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969_6-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969_6-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-2_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-2_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-2_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-3_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-3_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-3_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-4_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-4_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-4_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-5_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-5_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-5_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-6_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-6_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-6_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-7_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-7_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-7_4-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40021969-8_2-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021969-8_2-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021969-8_2-fackelmann-refillable-gas-lighter-with-flame-275cm.jpg'}]"
40114244,"""40114244""",(Gas Lighter - Popular)Anjali[1]{ pc}<180>,Anjali,1.0,pc,1,1, pc,180.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114244_2-anjali-gas-lighter-popular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114244_2-anjali-gas-lighter-popular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114244_2-anjali-gas-lighter-popular.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114244-2_1-anjali-gas-lighter-popular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114244-2_1-anjali-gas-lighter-popular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114244-2_1-anjali-gas-lighter-popular.jpg'}]"
40246019,"""40246019""","(Gas Lighter - Regular, Assorted Colour, Easy To Use)Ritu[1]{ pc}<135>",Ritu,1.0,pc,1,1, pc,135.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40246019_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40246019_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40246019_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40246019-2_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40246019-2_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40246019-2_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40246019-3_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40246019-3_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40246019-3_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40246019-4_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40246019-4_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40246019-4_1-ritu-gas-lighter-regular-assorted-colour-easy-to-use.jpg'}]"
40006378,"""40006378""",(ABS LIGHTER (PLASTIC BODY))Crystal[1]{ pc}<210>,Crystal,1.0,pc,1,1, pc,210.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378_4-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378_4-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378_4-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378-2_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378-2_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378-2_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378-3_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378-3_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378-3_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378-4_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378-4_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378-4_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378-5_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378-5_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378-5_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378-6_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378-6_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378-6_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40006378-7_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40006378-7_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40006378-7_1-crystal-gas-lighter-abs-plastic-stainless-steel-multicolour.jpg'}]"
40114220,"""40114220""","(Gas Lighter,  Flare)Anjali[1]{ pc}<170>",Anjali,1.0,pc,1,1, pc,170.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114220_3-anjali-gas-lighter-flare.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114220_3-anjali-gas-lighter-flare.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114220_3-anjali-gas-lighter-flare.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114220-2_2-anjali-gas-lighter-flare.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114220-2_2-anjali-gas-lighter-flare.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114220-2_2-anjali-gas-lighter-flare.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114220-3_1-anjali-gas-lighter-flare.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114220-3_1-anjali-gas-lighter-flare.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114220-3_1-anjali-gas-lighter-flare.jpg'}]"
40095697,"""40095697""",(S.S.Lovely Gas Lighter-Patent Design Regd.)Ritu[1]{ pc}<165>,Ritu,1.0,pc,1,1, pc,165.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40095697_1-ritu-sslovely-gas-lighter-patent-design-regd.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40095697_1-ritu-sslovely-gas-lighter-patent-design-regd.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40095697_1-ritu-sslovely-gas-lighter-patent-design-regd.jpg'}]"
40318384,"""40318384""","(Pocket Cigarette Lighter - Original, Disposable, Assorted Colour)Cricket[1]{ pc}<90>",Cricket,1.0,pc,1,1, pc,90.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40318384_2-cricket-pocket-lighter-electronic-original-disposable-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40318384_2-cricket-pocket-lighter-electronic-original-disposable-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40318384_2-cricket-pocket-lighter-electronic-original-disposable-assorted.jpg'}]"
40021968,"""400803314836""","(Gas lighter, 21cm, card)Fackelmann[1]{ pc}<199>",Fackelmann,1.0,pc,1,1, pc,199.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40021968_2-fackelmann-piezo-electric-gas-lighter.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40021968_2-fackelmann-piezo-electric-gas-lighter.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40021968_2-fackelmann-piezo-electric-gas-lighter.jpg'}]"
