Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40184011,"""40184011""","(Premium Collar, 30-45cm/15mm, S-M, Burgundy)Trixie[1]{ pc}<225>",Trixie,1.0,pc,1,1, pc,225.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184011_3-trixie-premium-collar-30-45cm15mm-s-m-burgundy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184011_3-trixie-premium-collar-30-45cm15mm-s-m-burgundy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184011_3-trixie-premium-collar-30-45cm15mm-s-m-burgundy.jpg'}]"
40279288,"""40279288""","(Dog Cotton Collar - Eco-Friendly, Sweat Free, Fits 20-25"" x 1.25"", Electric Blue)Vama Leathers[1]{ pc}<500>",Vama Leathers,1.0,pc,1,1, pc,500.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279288-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279288-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279288-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-20-25-x-125-electric-blue.jpg'}]"
40184017,"""4053032020672""","(Premium Collar - 40-65cm/25mm, L-XL, Forest)Trixie[1]{ pc}<395>",Trixie,1.0,pc,1,1, pc,395.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184017_4-trixie-premium-collar-40-65cm25mm-l-xl-forest.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184017_4-trixie-premium-collar-40-65cm25mm-l-xl-forest.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184017_4-trixie-premium-collar-40-65cm25mm-l-xl-forest.jpg'}]"
40279309,"""8902020480808""","(Cotton Leash - Long & Short Handle, For Giant & Extra Large Dogs, Electric Blue)Vama Leathers[1]{ pc}<700>",Vama Leathers,1.0,pc,1,1, pc,700.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309-2_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309-2_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309-2_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309-3_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309-3_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309-3_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309-4_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309-4_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309-4_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309-5_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309-5_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309-5_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309-6_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309-6_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309-6_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279309-7_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279309-7_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279309-7_1-vama-leathers-cotton-leash-long-short-handle-for-giant-extra-large-dogs-electric-blue.jpg'}]"
40279296,"""40279296""","(Dog Cotton Collar - Eco-Friendly, Sweat Free, Fits 12-17"" X 0.75"", Army Green)Vama Leathers[1]{ pc}<400>",Vama Leathers,1.0,pc,1,1, pc,400.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279296-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279296-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279296-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-12-17-x-075-army-green.jpg'}]"
40184021,"""401840210001""","(Classic Lead - Fully Adjustable, Nylon, M-L, Red)Trixie[1]{ pc}<325>",Trixie,1.0,pc,1,1, pc,325.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184021_3-trixie-classic-lead-fully-adjustable-nylon-m-l-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184021_3-trixie-classic-lead-fully-adjustable-nylon-m-l-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184021_3-trixie-classic-lead-fully-adjustable-nylon-m-l-red.jpg'}]"
40279301,"""8902011780808""","(Dog Cotton Collar - Eco-Friendly, Sweat Free, Fits 16-21"" X 1"", Racing Red)Vama Leathers[1]{ pc}<450>",Vama Leathers,1.0,pc,1,1, pc,450.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301-2_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301-3_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301-4_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301-5_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301-6_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279301-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279301-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279301-7_1-vama-leathers-dog-cotton-collar-eco-friendly-sweat-free-fits-16-21-x-1-racing-red.jpg'}]"
40184019,"""401840190001""","(Classic Lead - Fully Adjustable, Nylon, 4-6 ft./15 mm, XS-S, Red)Trixie[1]{ pc}<275>",Trixie,1.0,pc,1,1, pc,275.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184019_4-trixie-classic-lead-fully-adjustable-nylon-4-6-ft15-mm-xs-s-red.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184019_4-trixie-classic-lead-fully-adjustable-nylon-4-6-ft15-mm-xs-s-red.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184019_4-trixie-classic-lead-fully-adjustable-nylon-4-6-ft15-mm-xs-s-red.jpg'}]"
40132010,"""8904129904367""","(Padded Lead - 2 cm, Blue Colour)GLENAND[1]{ Pc}<595>",GLENAND,1.0,pc,1,1, Pc,595.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40132010_2-glenand-padded-lead-34-inch-blue-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40132010_2-glenand-padded-lead-34-inch-blue-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40132010_2-glenand-padded-lead-34-inch-blue-colour.jpg'}]"
40279414,"""8908040180808""","(Dog Training Slip Leash - Heavy Duty Rope, Brass Ring, 1 cm x 5 Feet, Shiny Black)Vama Leathers[1]{ pc}<400>",Vama Leathers,1.0,pc,1,1, pc,400.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Collars & Leashes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40279414_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279414_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279414_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279414-2_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279414-2_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279414-2_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279414-3_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279414-3_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279414-3_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279414-4_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279414-4_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279414-4_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279414-5_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279414-5_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279414-5_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40279414-6_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40279414-6_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40279414-6_1-vama-leathers-dog-training-slip-leash-heavy-duty-rope-brass-ring-1-cm-x-5-feet-shiny-black.jpg'}]"
