Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40116210,"""8904129904732""","(Dog Care - Classic Steel Bowl, GIb1005)GLENAND[1]{ pc}<480>",GLENAND,1.0,pc,1,1, pc,480.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40116210_1-glenand-dog-care-classic-steel-bowl-gib1005.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40116210_1-glenand-dog-care-classic-steel-bowl-gib1005.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40116210_1-glenand-dog-care-classic-steel-bowl-gib1005.jpg'}]"
40116215,"""40116215""","(Cat Care - Comfort Bowl, 64Oz GIb1011)GLENAND[1]{ pc}<440>",GLENAND,1.0,pc,1,1, pc,440.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40116215_1-glenand-cat-care-comfort-bowl-64oz-gib1011.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40116215_1-glenand-cat-care-comfort-bowl-64oz-gib1011.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40116215_1-glenand-cat-care-comfort-bowl-64oz-gib1011.jpg'}]"
40116212,"""40116212""","(Cat Care - Comfort Bowl, 16Oz GIb1008)GLENAND[1]{ pc}<290>",GLENAND,1.0,pc,1,1, pc,290.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40116212_1-glenand-cat-care-comfort-bowl-16oz-gib1008.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40116212_1-glenand-cat-care-comfort-bowl-16oz-gib1008.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40116212_1-glenand-cat-care-comfort-bowl-16oz-gib1008.jpg'}]"
40184048,"""40184048""",(Picnic 2 Bowl)Savic[600]{ ml}<160>,Savic,600.0,ml,1,600, ml,160.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40184048_3-savic-picnic-2-bowl.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184048_3-savic-picnic-2-bowl.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184048_3-savic-picnic-2-bowl.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184048-2_4-savic-picnic-2-bowl.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184048-2_4-savic-picnic-2-bowl.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184048-2_4-savic-picnic-2-bowl.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40184048-3_4-savic-picnic-2-bowl.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40184048-3_4-savic-picnic-2-bowl.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40184048-3_4-savic-picnic-2-bowl.jpg'}]"
40203008,"""40203008""",(Stainless Steel Dog Feeding Bowl - Medium)Drools[700]{ ml}<210>,Drools,700.0,ml,1,700, ml,210.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40203008_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203008_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203008_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203008-2_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203008-2_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203008-2_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203008-3_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203008-3_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203008-3_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203008-4_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203008-4_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203008-4_1-drools-stainless-steel-dog-feeding-bowl-medium.jpg'}]"
40203009,"""40203009""",(Stainless Steel Dog Feeding Bowl - Large)Drools[850]{ ml}<250>,Drools,850.0,ml,1,850, ml,250.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40203009_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203009_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203009_1-drools-stainless-steel-dog-feeding-bowl-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203009-2_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203009-2_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203009-2_1-drools-stainless-steel-dog-feeding-bowl-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203009-3_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203009-3_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203009-3_1-drools-stainless-steel-dog-feeding-bowl-large.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40203009-4_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40203009-4_1-drools-stainless-steel-dog-feeding-bowl-large.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40203009-4_1-drools-stainless-steel-dog-feeding-bowl-large.jpg'}]"
40211915,"""40211915""",(Bird Food For Love Birds & Cockatiel)Drools[1]{ Kg}<449>,Drools,1000.0,g,1,1, Kg,449.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,"[{'id': '40211916', 'desc': 'Bird Food For Love Birds & Cockatiel', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/40211916/drools-bird-food-for-love-birds-cockatiel-500-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '010', 'label': 'We are currently not delivering this', 'display_mrp': True, 'display_sp': False, 'not_for_sale': False, 'button': 'Notify Me', 'show_express': False}, 'pricing': {'discount': {'mrp': '249', 'mrp_per_pack': None, 'd_text': None, 'd_avail': 'false', 'prim_price': {'sp': '249', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.5', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '249', 'camp_detail': {'c': [], 'r_c': [], 'd_t': '', 'd_v': 0, 'v_f': 0, 'm_f': 0, 'c_f': 0, 'narq': 9999999, 'dual_pricing': False}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_sp': None, 'subs_c': []}, 'offer': {'offer_available': 'false', 'offer_entry_text': '', 'offer_ent_txt': '', 'text_color': None, 'background': {'gradient': None, 'direction': None}, 'background_border': {'gradient': None, 'direction': None}, 'arrow_image': None, 'campaign_type': None, 'campaign_type_slug': '', 'campaign_type_icon': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916-2_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916-2_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916-2_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916-3_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916-3_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916-3_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916-4_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916-4_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916-4_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916-5_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916-5_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916-5_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916-6_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916-6_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916-6_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211916-7_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211916-7_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211916-7_1-drools-bird-food-for-love-birds-cockatiel.jpg'}], 'variable_weight': None, 'brand': {'name': 'Drools', 'slug': 'drools', 'url': '/pb/drools/'}, 'category': {'tlc_name': 'Kitchen, Garden & Pets', 'tlc_slug': 'kitchen-garden-pets', 'mlc_name': 'Pet Food & Accessories', 'mlc_slug': 'pet-food-accessories', 'mlc_id': 1752, 'llc_name': 'Pet Meals & Treats', 'llc_slug': 'type=pc&slug=pet-meals-treats', 'llc_id': 1789}, 'additional_attr': {'info': [{'type': 'food_type', 'label': 'veg', 'sub_type': 'veg'}]}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': None}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '8906125480883', 'parent_info': {'id': 376419, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 40211915, 'child_id': 40211916, 'is_default': 0, 'type': 1, 'created_by_id': 3295, 'updated_by_id': 3295, 'created_on': '2022-11-17 16:25:40', 'updated_on': '2022-11-17 16:25:40'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915-2_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915-2_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915-2_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915-3_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915-3_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915-3_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915-4_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915-4_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915-4_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915-5_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915-5_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915-5_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915-6_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915-6_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915-6_1-drools-bird-food-for-love-birds-cockatiel.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40211915-7_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40211915-7_1-drools-bird-food-for-love-birds-cockatiel.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40211915-7_1-drools-bird-food-for-love-birds-cockatiel.jpg'}]"
40116207,"""8904129904707""","(Dog Care - Classic Steel Bowl, GIb1001)GLENAND[1]{ pc}<175>",GLENAND,1.0,pc,1,1, pc,175.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40116207_1-glenand-dog-care-classic-steel-bowl-gib1001.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40116207_1-glenand-dog-care-classic-steel-bowl-gib1001.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40116207_1-glenand-dog-care-classic-steel-bowl-gib1001.jpg'}]"
40116208,"""40116208""","(Dog Care - Classic Steel Bowl, GIb1003)GLENAND[1]{ pc}<260>",GLENAND,1.0,pc,1,1, pc,260.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40116208_1-glenand-dog-care-classic-steel-bowl-gib1003.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40116208_1-glenand-dog-care-classic-steel-bowl-gib1003.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40116208_1-glenand-dog-care-classic-steel-bowl-gib1003.jpg'}]"
40105958,"""40105958""",(Solid Double Diner Sets - Colored)Pets Empire[250]{ ml}<245>,Pets Empire,250.0,ml,1,250, ml,245.0,"Kitchen, Garden & Pets",Pet Food & Accessories,Pet Feeding Support,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40105958_2-pets-empire-solid-double-diner-sets-colored.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40105958_2-pets-empire-solid-double-diner-sets-colored.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40105958_2-pets-empire-solid-double-diner-sets-colored.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40105958-2_2-pets-empire-solid-double-diner-sets-colored.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40105958-2_2-pets-empire-solid-double-diner-sets-colored.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40105958-2_2-pets-empire-solid-double-diner-sets-colored.jpg'}]"
