Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40235127,"""40235127""","(Serving/Mixing Bowl,  Hand Painted Ceramic - Elegant White Glazed)bb home Earth[1.3]{ l}<499>",bb home Earth,1300.0,ml,1,1.3, l,499.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40235127_5-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235127_5-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235127_5-bb-home-earth-serving-bowl-elegant-white-glazed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235127-2_3-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235127-2_3-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235127-2_3-bb-home-earth-serving-bowl-elegant-white-glazed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235127-3_2-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235127-3_2-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235127-3_2-bb-home-earth-serving-bowl-elegant-white-glazed.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235127-4_2-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235127-4_2-bb-home-earth-serving-bowl-elegant-white-glazed.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235127-4_2-bb-home-earth-serving-bowl-elegant-white-glazed.jpg'}]"
40178664,"""40178664""","(Opalware Dinner Plates - Dishwasher Safe, Ivory)Laopala Diva[6]{ pcs}<720>",Laopala Diva,6.0,pc,1,6, pcs,720.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664_9-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664_9-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664_9-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-2_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-2_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-2_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-3_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-3_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-3_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-4_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-4_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-4_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-5_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-5_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-5_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-6_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-6_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-6_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-7_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-7_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-7_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-8_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-8_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-8_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-9_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-9_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-9_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40178664-10_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40178664-10_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40178664-10_2-laopala-diva-dinner-plates-opalware-full-plate-ivory.jpg'}]"
40235125,"""40235125""","(Serving/Mixing Bowl, Hand Painted Ceramic - Spiral Blue White)bb home Earth[500]{ ml}<199>",bb home Earth,500.0,ml,1,500, ml,199.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40235125_5-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235125_5-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235125_5-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235125-2_3-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235125-2_3-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235125-2_3-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235125-3_2-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235125-3_2-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235125-3_2-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235125-4_2-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235125-4_2-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235125-4_2-bb-home-earth-serving-bowl-blue-white-spiral-design.jpg'}]"
40308824,"""40308824""","(Serving/ Mixing/ Salad/ Cereal Bowl, Hand Crafted Ceramic, Mystic Blue)bb home Earth[500]{ ml}<399>",bb home Earth,500.0,ml,1,500, ml,399.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308824_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308824_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308824_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308824-2_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308824-2_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308824-2_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308824-3_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308824-3_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308824-3_3-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308824-4_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308824-4_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308824-4_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308824-5_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308824-5_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308824-5_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308824-6_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308824-6_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308824-6_2-bb-home-earth-serving-mixing-salad-cereal-bowl-mystic-blue-hand-painted.jpg'}]"
40235123,"""40235123""","(Serving/Mixing Bowl- With Lid, Hand Painted Ceramic, Tricolour)bb home Earth[500]{ ml}<399>",bb home Earth,500.0,ml,1,500, ml,399.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40235123_5-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235123_5-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235123_5-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235123-2_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235123-2_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235123-2_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235123-3_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235123-3_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235123-3_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235123-4_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235123-4_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235123-4_3-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235123-5_2-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235123-5_2-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235123-5_2-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235123-6_2-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235123-6_2-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235123-6_2-bb-home-earth-serving-bowl-with-lid-tri-colour-painted.jpg'}]"
40308821,"""40308821""","(Dinner Bowl/ Katori, Hand Crafted Ceramics, Mystic Blue)bb home Earth[300]{ ml}<799>",bb home Earth,300.0,ml,1,300, ml,799.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308821_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308821_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308821_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308821-2_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308821-2_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308821-2_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308821-3_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308821-3_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308821-3_3-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308821-4_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308821-4_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308821-4_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308821-5_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308821-5_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308821-5_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308821-6_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308821-6_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308821-6_2-bb-home-earth-dinner-bowl-katori-mystic-blue-hand-painted.jpg'}]"
40308828,"""40308828""","(Serving/ Mixing Bowl, Hand Painted Ceramic, Orient Yellow)bb home Earth[1.3]{ l}<799>",bb home Earth,1300.0,ml,1,1.3, l,799.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308828_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308828_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308828_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308828-2_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308828-2_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308828-2_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308828-3_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308828-3_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308828-3_3-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308828-4_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308828-4_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308828-4_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308828-5_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308828-5_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308828-5_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308828-6_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308828-6_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308828-6_2-bb-home-earth-serving-mixing-bowl-orient-yellow-hand-painted.jpg'}]"
40235122,"""40235122""","(Serving/Mixing Bowl, Hand Painted Ceramic - Chic Abstract Green Orange)bb home Earth[500]{ ml}<499>",bb home Earth,500.0,ml,1,500, ml,499.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40235122_5-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235122_5-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235122_5-bb-home-earth-chic-serving-bowl-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235122-2_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235122-2_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235122-2_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235122-3_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235122-3_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235122-3_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235122-4_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235122-4_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235122-4_3-bb-home-earth-chic-serving-bowl-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235122-5_2-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235122-5_2-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235122-5_2-bb-home-earth-chic-serving-bowl-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40235122-6_2-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40235122-6_2-bb-home-earth-chic-serving-bowl-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40235122-6_2-bb-home-earth-chic-serving-bowl-hand-painted.jpg'}]"
40308829,"""40308829""",(Serving/ Mixing Bowl Hand- Painted Ceramic -Tri Colour)bb home Earth[1.3]{ l}<799>,bb home Earth,1300.0,ml,1,1.3, l,799.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308829_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308829_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308829_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308829-2_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308829-2_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308829-2_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308829-3_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308829-3_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308829-3_3-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308829-4_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308829-4_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308829-4_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308829-5_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308829-5_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308829-5_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308829-6_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308829-6_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308829-6_2-bb-home-earth-serving-mixing-bowl-tri-colour-hand-painted.jpg'}]"
40134651,"""40134651""",(Long Tray - 100% melamine - Black)Iveo [1]{ pc}<400>,Iveo ,1.0,pc,1,1, pc,400.0,"Kitchen, Garden & Pets",Crockery & Cutlery,Plates & Bowls,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40134651_4-iveo-melamine-tray-black-long.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134651_4-iveo-melamine-tray-black-long.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134651_4-iveo-melamine-tray-black-long.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40134651-2_1-iveo-melamine-tray-black-long.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134651-2_1-iveo-melamine-tray-black-long.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134651-2_1-iveo-melamine-tray-black-long.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40134651-3_1-iveo-melamine-tray-black-long.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40134651-3_1-iveo-melamine-tray-black-long.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40134651-3_1-iveo-melamine-tray-black-long.jpg'}]"
