Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40185973,"""40185973""","(Compartment Plate - Stainless Steel, Round Shape, 36 cm , Silver)bb home[2]{ pcs}<1069>",bb home,2.0,pc,1,2, pcs,1069.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40185973_9-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40185973_9-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40185973_9-bb-home-stainless-steel-partition-plate-14-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40185973-2_4-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40185973-2_4-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40185973-2_4-bb-home-stainless-steel-partition-plate-14-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40185973-3_5-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40185973-3_5-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40185973-3_5-bb-home-stainless-steel-partition-plate-14-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40185973-4_2-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40185973-4_2-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40185973-4_2-bb-home-stainless-steel-partition-plate-14-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40185973-5_2-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40185973-5_2-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40185973-5_2-bb-home-stainless-steel-partition-plate-14-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40185973-6_1-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40185973-6_1-bb-home-stainless-steel-partition-plate-14-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40185973-6_1-bb-home-stainless-steel-partition-plate-14-inch.jpg'}]"
40170118,"""8904213204946""",(Stainless Steel Dinner Set - Mirror Finish)Kitchen Essentials[24]{ pcs}<2475>,Kitchen Essentials,24.0,pc,1,24, pcs,2475.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40170118_2-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40170118_2-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40170118_2-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40170118-2_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40170118-2_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40170118-2_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40170118-3_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40170118-3_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40170118-3_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40170118-4_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40170118-4_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40170118-4_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40170118-5_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40170118-5_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40170118-5_1-kitchen-essentials-stainless-steel-dinner-set-mirror-finish.jpg'}]"
40183402,"""40183402""","(Dinner Plate/Thali - No. 12, N.P.Bidding, Stainless Steel)bb home[2]{ pcs}<649>",bb home,2.0,pc,1,2, pcs,649.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402_11-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402_11-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402_11-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402-2_8-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402-2_8-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402-2_8-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402-3_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402-3_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402-3_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402-4_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402-4_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402-4_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402-5_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402-5_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402-5_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402-6_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402-6_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402-6_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183402-7_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183402-7_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183402-7_6-bb-home-stainless-steel-dinner-platethali-no-12-npbidding.jpg'}]"
40183405,"""40183405""","(Dinner Plate/Thali - No. 13, Beggi China, Stainless Steel)BB Home[2]{ pcs}<769>",BB Home,2.0,pc,1,2, pcs,769.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183405_13-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183405_13-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183405_13-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183405-2_7-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183405-2_7-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183405-2_7-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183405-3_5-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183405-3_5-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183405-3_5-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183405-4_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183405-4_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183405-4_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183405-5_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183405-5_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183405-5_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183405-6_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183405-6_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183405-6_1-bb-home-stainless-steel-dinner-platethali-no-13-beggi-china.jpg'}]"
40186009,"""40186009""","(Dinner/Khumcha Plate - No.14, Stainless Steel, Round, Silver)bb home[2]{ pcs}<999>",bb home,2.0,pc,1,2, pcs,999.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40186009_7-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186009_7-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186009_7-bb-home-steel-dinner-plate-no-14-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186009-2_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186009-2_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186009-2_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186009-3_4-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186009-3_4-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186009-3_4-bb-home-steel-dinner-plate-no-14-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186009-4_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186009-4_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186009-4_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186009-5_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186009-5_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186009-5_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186009-6_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186009-6_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186009-6_2-bb-home-steel-dinner-plate-no-14-khumcha.jpg'}]"
40317253,"""40317253""","(Stainless Steel Amarapali Glass - No.7, Laser Etching)Kitchen Essentials[300]{ ml}<749>",Kitchen Essentials,300.0,ml,1,300, ml,749.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317253_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317253_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317253_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317253-2_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317253-2_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317253-2_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317253-3_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317253-3_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317253-3_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317253-4_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317253-4_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317253-4_1-kitchen-essentials-stainless-steel-amarapali-glass-no7-laser-etching.jpg'}]"
40183403,"""40183403""","(Dinner Plate/Thali - No. 14, N.P.Bidding, Stainless Steel)bb home[2]{ pcs}<889>",bb home,2.0,pc,1,2, pcs,889.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403_11-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403_11-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403_11-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403-2_7-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403-2_7-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403-2_7-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403-3_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403-3_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403-3_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403-4_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403-4_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403-4_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403-5_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403-5_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403-5_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403-6_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403-6_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403-6_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183403-7_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183403-7_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183403-7_1-bb-home-steel-dinner-platethali-no-14-npbidding.jpg'}]"
40183394,"""48159792""","(Glass/Tumbler - No.7, Stainless Steel, Royal, Silver)bb home[300]{ ml}<269>",bb home,300.0,ml,1,300, ml,269.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183394_11-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183394_11-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183394_11-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183394-2_9-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183394-2_9-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183394-2_9-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183394-3_8-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183394-3_8-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183394-3_8-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183394-4_6-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183394-4_6-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183394-4_6-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183394-5_6-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183394-5_6-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183394-5_6-bb-home-stainless-steel-glasstumbler-no-7-royal.jpg'}]"
40183404,"""40183404""","(Dinner Plate/Thali - No. 12, Beggi China, Stainless Steel)bb home[2]{ pcs}<659>",bb home,2.0,pc,1,2, pcs,659.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40183404_12-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183404_12-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183404_12-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183404-2_9-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183404-2_9-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183404-2_9-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183404-3_8-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183404-3_8-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183404-3_8-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40183404-4_1-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40183404-4_1-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40183404-4_1-bb-home-stainless-steel-dinner-platethali-no-12-beggi-china.jpg'}]"
40186008,"""40186008""","(Dinner/Khumcha Plate - No.13, Stainless Steel, Round, Silver)bb home[2]{ pcs}<899>",bb home,2.0,pc,1,2, pcs,899.0,"Kitchen, Garden & Pets",Steel Utensils,Plates & Tumblers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40186008_8-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186008_8-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186008_8-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186008-2_4-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186008-2_4-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186008-2_4-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186008-3_5-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186008-3_5-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186008-3_5-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186008-4_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186008-4_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186008-4_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186008-5_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186008-5_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186008-5_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40186008-6_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40186008-6_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40186008-6_2-bb-home-stainless-steel-dinner-plate-no-13-khumcha.jpg'}]"
