Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40274266,"""40274266""","(Organizer - Premium, Plastic, Storage Box, For Multipurpose Use, Size 1, Dark Brown)Jaycee[1]{ pc}<240>",Jaycee,1.0,pc,1,1, pc,240.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40274266_3-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274266_3-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274266_3-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274266-2_1-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274266-2_1-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274266-2_1-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40274266-3_1-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40274266-3_1-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40274266-3_1-jaycee-organizer-premium-size-1-dark-brown-345mm-x-280mm-x-130mm.jpg'}]"
40135097,"""40135097""","(Plastic Kitchen Rack/Kitchen Stand - Big, Blue, Maria)Princeware[3]{ pcs}<620>",Princeware,3.0,pc,1,3, pcs,620.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097_3-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097_3-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097_3-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097-2_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097-2_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097-2_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097-3_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097-3_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097-3_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097-4_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097-4_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097-4_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097-5_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097-5_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097-5_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097-6_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097-6_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097-6_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40135097-7_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40135097-7_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40135097-7_1-princeware-plastic-kitchen-rackkitchen-stand-big-blue-maria.jpg'}]"
40129371,"""8904098910598""","(Cane Basket Set - Durable, Lightweight, Assorted Colour)JOYO[4]{ pcs}<550>",JOYO,4.0,pc,1,4, pcs,550.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40129371_8-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129371_8-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129371_8-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129371-2_5-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129371-2_5-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129371-2_5-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129371-3_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129371-3_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129371-3_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129371-4_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129371-4_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129371-4_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40129371-5_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40129371-5_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40129371-5_4-joyo-cane-basket-set-mini-small-medium-round-cutlery-stand-with-jali-net.jpg'}]"
40307502,"""8904073811179""","(Storage Organiser & Kitchen Tray Set - Assorted Colour, Viva Multipurpose)Nakoda[4]{ pcs}<257>",Nakoda,4.0,pc,1,4, pcs,257.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40307502_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307502_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307502_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307502-2_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307502-2_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307502-2_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307502-3_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307502-3_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307502-3_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307502-4_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307502-4_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307502-4_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307502-5_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307502-5_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307502-5_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307502-6_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307502-6_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307502-6_2-nakoda-viva-multipurpose-storage-organiser-kitchen-tray-set-assorted-colour.jpg'}]"
40307533,"""4030753389040""","(Multiutility Pen Pencil Brush Spoon & Cutlery Stand - Assorted Colour, Hexa)Nakoda[1]{ pc}<54>",Nakoda,1.0,pc,1,1, pc,54.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40307533_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307533_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307533_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307533-2_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307533-2_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307533-2_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307533-3_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307533-3_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307533-3_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307533-4_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307533-4_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307533-4_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307533-5_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307533-5_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307533-5_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307533-6_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307533-6_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307533-6_2-nakoda-hexa-multi-utility-pen-pencil-brush-spoon-cutlery-stand-assorted-color-length-dia-140-height-105.jpg'}]"
40294379,"""40294379""","(Mop & Broom Holder - Made Of High Quality Plastic, Sturdy, Durable)Kleaner[1]{ pc}<499>",Kleaner,1.0,pc,1,1, pc,499.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40294379_3-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40294379_3-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40294379_3-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40294379-2_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40294379-2_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40294379-2_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40294379-3_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40294379-3_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40294379-3_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40294379-4_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40294379-4_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40294379-4_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40294379-5_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40294379-5_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40294379-5_2-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40294379-6_1-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40294379-6_1-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40294379-6_1-kleaner-mop-broom-holder-made-of-high-quality-plastic-sturdy-durable.jpg'}]"
40307522,"""8904073811810""","(Kitchen Storage Rack, Multipurpose Large Size, Assorted Colour - Ultima)Nakoda[1]{ pc}<599>",Nakoda,1.0,pc,1,1, pc,599.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40307522_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307522_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307522_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307522-2_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307522-2_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307522-2_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307522-3_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307522-3_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307522-3_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307522-4_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307522-4_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307522-4_5-nakoda-ultima-multipurpose-kitchen-storage-rack-big-iii-assorted-colour-dia-365-height-583.jpg'}]"
40307482,"""8904073807639""","(Storage Basket Kitchen Space Organizer Rack - Assorted Colour, Mint 222)Nakoda[1]{ pc}<169>",Nakoda,1.0,pc,1,1, pc,169.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482-2_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482-2_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482-2_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482-3_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482-3_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482-3_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482-4_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482-4_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482-4_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482-5_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482-5_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482-5_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482-6_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482-6_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482-6_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40307482-7_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40307482-7_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40307482-7_5-nakoda-mint-222-multipurpose-storage-basket-kitchen-space-organiser-rack-assorted-colour-length-303-width-205-height-125.jpg'}]"
40263195,"""40263195""","(Magnifico Multipurpose Box - Durable Storage With Lid, White)Unica[7.2]{ l}<499>",Unica,7200.0,ml,1,7.2, l,499.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40263195_1-unica-magnifico-multipurpose-box-durable-storage-with-lid-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40263195_1-unica-magnifico-multipurpose-box-durable-storage-with-lid-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40263195_1-unica-magnifico-multipurpose-box-durable-storage-with-lid-white.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40263195-2_1-unica-magnifico-multipurpose-box-durable-storage-with-lid-white.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40263195-2_1-unica-magnifico-multipurpose-box-durable-storage-with-lid-white.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40263195-2_1-unica-magnifico-multipurpose-box-durable-storage-with-lid-white.jpg'}]"
40228405,"""890222936265""","(Egg Tray -  Blue, Durable)Polyset[1]{ pc}<115>",Polyset,1.0,pc,1,1, pc,115.0,"Kitchen, Garden & Pets",Storage & Accessories,Racks & Holders,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40228405_1-polyset-egg-tray-blue-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40228405_1-polyset-egg-tray-blue-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40228405_1-polyset-egg-tray-blue-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40228405-2_1-polyset-egg-tray-blue-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40228405-2_1-polyset-egg-tray-blue-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40228405-2_1-polyset-egg-tray-blue-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40228405-3_1-polyset-egg-tray-blue-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40228405-3_1-polyset-egg-tray-blue-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40228405-3_1-polyset-egg-tray-blue-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40228405-4_1-polyset-egg-tray-blue-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40228405-4_1-polyset-egg-tray-blue-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40228405-4_1-polyset-egg-tray-blue-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40228405-5_1-polyset-egg-tray-blue-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40228405-5_1-polyset-egg-tray-blue-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40228405-5_1-polyset-egg-tray-blue-durable.jpg'}]"
