Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40288267,"""40288267""",(Green Cucumber Vegetable Seeds)Optimal Seeds[50]{ pcs}<250>,Optimal Seeds,50.0,pc,1,50, pcs,250.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40288267_1-optimal-seeds-green-cucumber-vegetable-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288267_1-optimal-seeds-green-cucumber-vegetable-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288267_1-optimal-seeds-green-cucumber-vegetable-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288267-2_1-optimal-seeds-green-cucumber-vegetable-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288267-2_1-optimal-seeds-green-cucumber-vegetable-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288267-2_1-optimal-seeds-green-cucumber-vegetable-seeds.jpg'}]"
40288250,"""40288250""",(Arugula Rocket Salad Leafy Vegetable Seeds)Optimal Seeds[50]{ pcs}<250>,Optimal Seeds,50.0,pc,1,50, pcs,250.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40288250_1-optimal-seeds-arugula-rocket-salad-leafy-vegetable-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288250_1-optimal-seeds-arugula-rocket-salad-leafy-vegetable-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288250_1-optimal-seeds-arugula-rocket-salad-leafy-vegetable-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288250-2_1-optimal-seeds-arugula-rocket-salad-leafy-vegetable-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288250-2_1-optimal-seeds-arugula-rocket-salad-leafy-vegetable-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288250-2_1-optimal-seeds-arugula-rocket-salad-leafy-vegetable-seeds.jpg'}]"
40288224,"""40288224""",(Genovese Basil Herb Seeds)Optimal Seeds[50]{ pcs}<250>,Optimal Seeds,50.0,pc,1,50, pcs,250.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40288224_1-optimal-seeds-genovese-basil-herb-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288224_1-optimal-seeds-genovese-basil-herb-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288224_1-optimal-seeds-genovese-basil-herb-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288224-2_1-optimal-seeds-genovese-basil-herb-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288224-2_1-optimal-seeds-genovese-basil-herb-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288224-2_1-optimal-seeds-genovese-basil-herb-seeds.jpg'}]"
40158929,"""40158929""",(Indian Cauliflower Seeds)National Gardens[50]{ Seeds}<149>,National Gardens,50.0,pc,1,50, Seeds,149.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40158929_1-national-gardens-indian-cauliflower-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40158929_1-national-gardens-indian-cauliflower-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40158929_1-national-gardens-indian-cauliflower-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40158929-2_1-national-gardens-indian-cauliflower-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40158929-2_1-national-gardens-indian-cauliflower-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40158929-2_1-national-gardens-indian-cauliflower-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40158929-3_1-national-gardens-indian-cauliflower-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40158929-3_1-national-gardens-indian-cauliflower-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40158929-3_1-national-gardens-indian-cauliflower-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40158929-4_1-national-gardens-indian-cauliflower-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40158929-4_1-national-gardens-indian-cauliflower-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40158929-4_1-national-gardens-indian-cauliflower-seeds.jpg'}]"
40159008,"""40159008""",(Indian Cucumber Seeds)National Gardens[30]{ Seeds}<149>,National Gardens,30.0,pc,1,30, Seeds,149.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40159008_1-national-gardens-indian-cucumber-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40159008_1-national-gardens-indian-cucumber-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40159008_1-national-gardens-indian-cucumber-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40159008-2_1-national-gardens-indian-cucumber-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40159008-2_1-national-gardens-indian-cucumber-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40159008-2_1-national-gardens-indian-cucumber-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40159008-3_1-national-gardens-indian-cucumber-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40159008-3_1-national-gardens-indian-cucumber-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40159008-3_1-national-gardens-indian-cucumber-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40159008-4_1-national-gardens-indian-cucumber-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40159008-4_1-national-gardens-indian-cucumber-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40159008-4_1-national-gardens-indian-cucumber-seeds.jpg'}]"
40210082,"""40210082""",(Red Radish Seeds)Joycity[50+]{+ Seeds}<149>,Joycity,50.0,pc,1,50+,#NAME?,149.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40210082_1-joycity-red-radish-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210082_1-joycity-red-radish-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210082_1-joycity-red-radish-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210082-2_1-joycity-red-radish-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210082-2_1-joycity-red-radish-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210082-2_1-joycity-red-radish-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210082-3_1-joycity-red-radish-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210082-3_1-joycity-red-radish-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210082-3_1-joycity-red-radish-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210082-4_1-joycity-red-radish-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210082-4_1-joycity-red-radish-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210082-4_1-joycity-red-radish-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210082-5_1-joycity-red-radish-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210082-5_1-joycity-red-radish-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210082-5_1-joycity-red-radish-seeds.jpg'}]"
40210042,"""40210042""",(Broccoli Seeds)Joycity[200+]{+ Seeds}<129>,Joycity,200.0,pc,1,200+,#NAME?,129.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40210042_1-joycity-broccoli-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210042_1-joycity-broccoli-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210042_1-joycity-broccoli-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210042-2_1-joycity-broccoli-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210042-2_1-joycity-broccoli-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210042-2_1-joycity-broccoli-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210042-3_1-joycity-broccoli-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210042-3_1-joycity-broccoli-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210042-3_1-joycity-broccoli-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210042-4_1-joycity-broccoli-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210042-4_1-joycity-broccoli-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210042-4_1-joycity-broccoli-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210042-5_1-joycity-broccoli-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210042-5_1-joycity-broccoli-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210042-5_1-joycity-broccoli-seeds.jpg'}]"
40210062,"""40210062""",(Peas Seeds)Joycity[25+]{+ Seeds}<129>,Joycity,25.0,pc,1,25+,#NAME?,129.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40210062_1-joycity-peas-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210062_1-joycity-peas-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210062_1-joycity-peas-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210062-2_1-joycity-peas-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210062-2_1-joycity-peas-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210062-2_1-joycity-peas-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210062-3_1-joycity-peas-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210062-3_1-joycity-peas-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210062-3_1-joycity-peas-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210062-4_1-joycity-peas-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210062-4_1-joycity-peas-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210062-4_1-joycity-peas-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210062-5_1-joycity-peas-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210062-5_1-joycity-peas-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210062-5_1-joycity-peas-seeds.jpg'}]"
40210002,"""40210002""",(Vegetable Seeds Combo - 10 Varieties)Joycity[665+]{+ Seeds}<499>,Joycity,665.0,pc,1,665+,#NAME?,499.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40210002_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210002_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210002_1-joycity-vegetable-seeds-combo-10-varieties.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210002-2_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210002-2_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210002-2_1-joycity-vegetable-seeds-combo-10-varieties.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210002-3_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210002-3_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210002-3_1-joycity-vegetable-seeds-combo-10-varieties.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210002-4_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210002-4_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210002-4_1-joycity-vegetable-seeds-combo-10-varieties.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210002-5_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210002-5_1-joycity-vegetable-seeds-combo-10-varieties.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210002-5_1-joycity-vegetable-seeds-combo-10-varieties.jpg'}]"
40210036,"""40210036""",(Onion Seeds)Joycity[500+]{+ Seeds}<219>,Joycity,500.0,pc,1,500+,#NAME?,219.0,"Kitchen, Garden & Pets",Gardening,Seeds & Sapling,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40210036_1-joycity-onion-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210036_1-joycity-onion-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210036_1-joycity-onion-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210036-2_1-joycity-onion-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210036-2_1-joycity-onion-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210036-2_1-joycity-onion-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210036-3_1-joycity-onion-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210036-3_1-joycity-onion-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210036-3_1-joycity-onion-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210036-4_1-joycity-onion-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210036-4_1-joycity-onion-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210036-4_1-joycity-onion-seeds.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40210036-5_1-joycity-onion-seeds.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40210036-5_1-joycity-onion-seeds.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40210036-5_1-joycity-onion-seeds.jpg'}]"
