Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40163236,"""40163236""","(Stainless Steel Soup/Juice Strainer - Classic, 16 cm)Elephant [1]{ pc}<275>",Elephant ,1.0,pc,1,1, pc,275.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236_3-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236_3-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236_3-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-2_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-2_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-2_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-3_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-3_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-3_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-4_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-4_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-4_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-5_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-5_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-5_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-6_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-6_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-6_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-7_1-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-7_1-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-7_1-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}]"
40163268,"""8904095201149""",(Stainless Steel Coffee/Tea Strainer - 9 cm)Elephant [1]{ pc}<105>,Elephant ,1.0,pc,1,1, pc,105.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268_3-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268_3-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268_3-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-2_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-2_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-2_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-3_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-3_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-3_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-4_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-4_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-4_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-5_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-5_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-5_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-6_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-6_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-6_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-7_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-7_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-7_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}]"
40163237,"""40163237""","(Stainless Steel Soup/Juice Strainer - Classic, 18 cm)Elephant [1]{ pc}<365>",Elephant ,1.0,pc,1,1, pc,365.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237_3-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237_3-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237_3-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237-2_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237-2_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237-2_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237-3_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237-3_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237-3_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237-4_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237-4_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237-4_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237-5_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237-5_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237-5_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237-6_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237-6_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237-6_2-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163237-7_1-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163237-7_1-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163237-7_1-elephant-stainless-steel-soupjuice-strainer-classic-18-cm.jpg'}]"
40219992,"""40219992""","(Sangita Steel Tea/Coffee Strainer - Medium, 8 cm)Elephant [1]{ pc}<60>",Elephant ,1.0,pc,1,1, pc,60.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40219992_1-elephant-sangita-steel-teacoffee-strainer-medium-8-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40219992_1-elephant-sangita-steel-teacoffee-strainer-medium-8-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40219992_1-elephant-sangita-steel-teacoffee-strainer-medium-8-cm.jpg'}]"
40242369,"""40242369""","(Stainless Steel Sink Drainer/Strainer/Sink Jali/Filter - 11 Cm Diameter, Dishwasher Safe, Durable)Petals[1]{ pc}<129>",Petals,1.0,pc,1,1, pc,129.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242369_4-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242369_4-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242369_4-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242369-2_4-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242369-2_4-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242369-2_4-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242369-3_1-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242369-3_1-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242369-3_1-petals-stainless-steel-sink-strainerfilter-11-cm-highly-polished-finish-sturdy.jpg'}]"
40242396,"""40242396""","(Stainless Steel Cooking/Serving/Spoon Spatula - Deep Rice Salad Server, 22 Cm, Kitchen Essential)Petals[1]{ pc}<119>",Petals,1.0,pc,1,1, pc,119.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242396_4-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242396_4-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242396_4-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242396-2_4-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242396-2_4-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242396-2_4-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242396-3_1-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242396-3_1-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242396-3_1-petals-stainless-steel-cookingserving-spoon-spatula-deep-rice-salad-server-22-cm-sturdy.jpg'}]"
40242409,"""40242409""","(Stainless Steel Cooking/Serving/Spoon - Soup/Dal/Sambar/Curry Ladle, 26.5 Cm, Kitchen Essential)Petals[1]{ pc}<129>",Petals,1.0,pc,1,1, pc,129.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242409_4-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242409_4-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242409_4-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242409-2_4-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242409-2_4-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242409-2_4-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242409-3_1-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242409-3_1-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242409-3_1-petals-stainless-steel-cookingserving-spoon-for-soupdalsambar-curry-ladle-265-cm-sturdy.jpg'}]"
40273524,"""40273524""",(Stainless Steel Kitchen Tools Spoons For Cooking & Serving - Metallic)Fackelmann[1]{ pc}<240>,Fackelmann,1.0,pc,1,1, pc,240.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40273524_3-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273524_3-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273524_3-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40273524-2_1-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273524-2_1-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273524-2_1-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40273524-3_1-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273524-3_1-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273524-3_1-fackelmann-stainless-steel-kitchen-tools-spoons-for-cooking-serving-metallic.jpg'}]"
40268331,"""40268331""","(Classic Soup Strainer No.6 - Stainless Steel, Anti-Rust, Strong & Durable)Elephant [1]{ pc}<275>",Elephant ,1.0,pc,1,1, pc,275.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40268331_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268331_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268331_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40268331-2_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268331-2_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268331-2_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40268331-3_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268331-3_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268331-3_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40268331-4_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268331-4_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268331-4_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40268331-5_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268331-5_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268331-5_3-elephant-classic-soup-strainer-no6-stainless-steel-anti-rust-strong-durable.jpg'}]"
40268037,"""40268037""","(Spoons Set - Stainless Steel, 23 cm, 58 cm, Ideal For Cooking, Serving, Sturdy)Petals[3]{ pcs}<159>",Petals,3.0,pc,1,3, pcs,159.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40268037_4-petals-spoons-set-stainless-steel-9-inches-23-cms-ideal-for-cooking-serving-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268037_4-petals-spoons-set-stainless-steel-9-inches-23-cms-ideal-for-cooking-serving-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268037_4-petals-spoons-set-stainless-steel-9-inches-23-cms-ideal-for-cooking-serving-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40268037-2_2-petals-spoons-set-stainless-steel-9-inches-23-cms-ideal-for-cooking-serving-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40268037-2_2-petals-spoons-set-stainless-steel-9-inches-23-cms-ideal-for-cooking-serving-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40268037-2_2-petals-spoons-set-stainless-steel-9-inches-23-cms-ideal-for-cooking-serving-sturdy.jpg'}]"
