Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40014013,"""8901165111506""","(Hard Anodised Aluminium Non-Stick Tawa - 28 cm, 4.88 mm, with Handle, Q28)Hawkins Futura[1]{ pc}<1525>",Hawkins Futura,1.0,pc,1,1, pc,1525.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40014013_3-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014013_3-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014013_3-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014013-2_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014013-2_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014013-2_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014013-3_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014013-3_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014013-3_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014013-4_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014013-4_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014013-4_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014013-5_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014013-5_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014013-5_1-hawkins-futura-non-stick-dosa-tawa-q28-28-cm.jpg'}]"
40104345,"""40104345""","(Omega Deluxe Granite Non-Stick Round Base Omni Tawa - 28 cm, Black)Prestige[1]{ pc}<1400>",Prestige,1.0,pc,1,1, pc,1400.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345_5-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345_5-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345_5-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345-2_3-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345-2_3-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345-2_3-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345-3_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345-3_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345-3_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345-4_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345-4_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345-4_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345-5_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345-5_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345-5_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345-6_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345-6_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345-6_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104345-7_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104345-7_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104345-7_2-prestige-deluxe-granite-non-stick-omni-tawa-280-mm-36302.jpg'}]"
40278946,"""40278946""","(Forza Pre-Seasoned Cast Iron Dosa Tawa - Sturdy Handle, Long-Lasting, 27 cm)Wonderchef[1]{ pc}<2500>",Wonderchef,1.0,pc,1,1, pc,2500.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-2_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-2_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-2_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-3_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-3_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-3_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-4_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-4_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-4_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-5_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-5_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-5_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-6_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-6_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-6_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-7_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-7_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-7_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40278946-8_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40278946-8_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40278946-8_2-wonderchef-forza-pre-seasoned-cast-iron-dosa-tawa-sturdy-handle-long-lasting-27-cm.jpg'}]"
40157651,"""40157651""","(Induction Base Non-Stick Flat/Dosa Tawa - Durable, 26 cm, Maroon)Nirlon[1]{ pc}<1015>",Nirlon,1.0,pc,1,1, pc,1015.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40157651_4-nirlon-induction-base-non-stick-flatdosa-tawa-26-cm-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40157651_4-nirlon-induction-base-non-stick-flatdosa-tawa-26-cm-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40157651_4-nirlon-induction-base-non-stick-flatdosa-tawa-26-cm-maroon.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40157651-2_3-nirlon-induction-base-non-stick-flatdosa-tawa-26-cm-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40157651-2_3-nirlon-induction-base-non-stick-flatdosa-tawa-26-cm-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40157651-2_3-nirlon-induction-base-non-stick-flatdosa-tawa-26-cm-maroon.jpg'}]"
40014014,"""8901165111407""","(Hard Anodised Aluminium Non-Stick Tawa - 33 cm, 4.88 mm, with Handle, Q41)Hawkins Futura[1]{ pc}<1840>",Hawkins Futura,1.0,pc,1,1, pc,1840.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40014014_3-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014014_3-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014014_3-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014014-2_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014014-2_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014014-2_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014014-3_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014014-3_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014014-3_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014014-4_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014014-4_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014014-4_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014014-5_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014014-5_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014014-5_1-hawkins-futura-non-stick-dosa-tawa-q41-33-cm.jpg'}]"
40273797,"""40273797""","(Aluminium Non-Stick Dosa Tawa - 26 cm, 2.2 mm)Navrang[1]{ pc}<506>",Navrang,1.0,pc,1,1, pc,506.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40273797_5-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273797_5-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273797_5-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40273797-2_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273797-2_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273797-2_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40273797-3_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273797-3_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273797-3_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40273797-4_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273797-4_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273797-4_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40273797-5_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40273797-5_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40273797-5_2-navrang-nonstick-spatter-tawa-260mm-highly-durable-sturdy-handle-longlasting.jpg'}]"
40104359,"""40104359""","(Hard Anodised Plus Gas & Induction Compatible Roti Tawa - 22.5cm, Black)Prestige[1]{ pc}<975>",Prestige,1.0,pc,1,1, pc,975.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359_5-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359_5-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359_5-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359-2_3-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359-2_3-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359-2_3-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359-3_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359-3_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359-3_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359-4_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359-4_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359-4_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359-5_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359-5_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359-5_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359-6_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359-6_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359-6_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40104359-7_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40104359-7_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40104359-7_2-prestige-hard-anodised-plus-chapati-paratha-tawa-225-mm-35035.jpg'}]"
40313952,"""40313952""",(Flat Bottom Stainless Steel Saucepan - Size 11)bb home[1.5]{ L}<295>,bb home,1500.0,ml,1,1.5, L,295.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40313952_2-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313952_2-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313952_2-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313952-2_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313952-2_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313952-2_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313952-3_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313952-3_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313952-3_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313952-4_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313952-4_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313952-4_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313952-5_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313952-5_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313952-5_1-bb-home-flat-bottom-stainless-steel-saucepan-size-11.jpg'}]"
40014006,"""8901165100203""","(Hard Anodised Aluminium Tawa - 26 cm, 4.88 mm, Stainless Steel Handle, L52)Hawkins Futura[1]{ pc}<1060>",Hawkins Futura,1.0,pc,1,1, pc,1060.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40014006_3-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014006_3-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014006_3-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014006-2_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014006-2_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014006-2_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014006-3_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014006-3_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014006-3_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014006-4_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014006-4_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014006-4_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40014006-5_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40014006-5_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40014006-5_1-hawkins-futura-hard-anodised-tawa-l52-26-cm.jpg'}]"
40311698,"""40311698""","(Hard Anodised Roti/Paratha Concave Tawa - 25 cm, Taurus, Black)Wonderchef[1]{ pc}<999>",Wonderchef,1.0,pc,1,1, pc,999.0,"Kitchen, Garden & Pets",Cookware & Non Stick,Tawa & Sauce Pan,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40311698_3-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40311698_3-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40311698_3-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40311698-2_2-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40311698-2_2-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40311698-2_2-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40311698-3_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40311698-3_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40311698-3_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40311698-4_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40311698-4_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40311698-4_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40311698-5_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40311698-5_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40311698-5_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40311698-6_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40311698-6_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40311698-6_1-wonderchef-taurus-hard-anodised-roti-tawa-25-cm.jpg'}]"
