Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40304100,"""40304100""","(Motivational Plastic Gym Gallon Water Bottle - With Time Markers, Army Green)Boldfit[2]{ l}<1499>",Boldfit,2000.0,ml,1,2, l,1499.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40304100_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304100_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304100_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40304100-2_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304100-2_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304100-2_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40304100-3_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304100-3_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304100-3_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40304100-4_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304100-4_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304100-4_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40304100-5_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304100-5_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304100-5_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40304100-6_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304100-6_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304100-6_1-boldfit-motivational-plastic-gym-gallon-water-bottle-with-time-markers-army-green.jpg'}]"
40288872,"""40288872""","(KIP SIP Pet Water Bottle - BPA Free, Leak Proof, Refrigerator Safe, Assorted)Milton[1]{ L}<599>",Milton,1000.0,ml,1,1, L,599.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40288872_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288872_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288872_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288872-2_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288872-2_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288872-2_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288872-3_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288872-3_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288872-3_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288872-4_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288872-4_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288872-4_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40288872-5_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40288872-5_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40288872-5_1-milton-kip-sip-pet-water-bottle-bpa-free-leak-proof-refrigerator-safe-assorted.jpg'}]"
40323568,"""40323568""","(Hot & Cold Thermosteel Water Bottle For Kids With Bag, Blue, Astronaut)Femora[550]{ ml}<880>",Femora,550.0,ml,1,550, ml,880.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568_3-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568_3-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568_3-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-2_3-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-2_3-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-2_3-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-3_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-3_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-3_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-4_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-4_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-4_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-5_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-5_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-5_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-6_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-6_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-6_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-7_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-7_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-7_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-8_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-8_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-8_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323568-9_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323568-9_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323568-9_1-femora-hot-cold-thermosteel-water-bottle-for-kids-with-bag-blue-astronaut.jpg'}]"
40249388,"""40249388""",(Blaze Single Walled Stainless Steel Fridge Water Bottle - Blue)Signoraware[750]{ ml}<479>,Signoraware,750.0,ml,1,750, ml,479.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40249388_2-signoraware-blaze-single-walled-stainless-steel-water-bottle-premium-strong-durable-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40249388_2-signoraware-blaze-single-walled-stainless-steel-water-bottle-premium-strong-durable-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40249388_2-signoraware-blaze-single-walled-stainless-steel-water-bottle-premium-strong-durable-blue.jpg'}]"
40216449,"""40216449""",(H2O Glass Fridge Water Bottle - Blue)Cello[1]{ pc}<249>,Cello,1.0,pc,1,1, pc,249.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40216449_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40216449_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40216449_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40216449-2_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40216449-2_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40216449-2_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40216449-3_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40216449-3_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40216449-3_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40216449-4_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40216449-4_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40216449-4_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40216449-5_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40216449-5_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40216449-5_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40216449-6_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40216449-6_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40216449-6_2-cello-h2o-glass-fridge-water-bottle-920-ml-blue.jpg'}]"
40300039,"""40300039""","(Trendy Stainless Steel Water Bottle With Sipper Cap - Turquoise Blue, Leak Proof)bb home[1]{ L}<495>",bb home,1000.0,ml,1,1, L,495.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40300039_2-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300039_2-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300039_2-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300039-2_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300039-2_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300039-2_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300039-3_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300039-3_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300039-3_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300039-4_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300039-4_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300039-4_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300039-5_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300039-5_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300039-5_1-bb-home-trendy-stainless-steel-water-bottle-with-sipper-cap-turquoise-blue.jpg'}]"
40317714,"""40317714""",(Stainless Steel Fridge Sipper Water Bottle - Duke)Nelcon[700]{ ml}<979>,Nelcon,700.0,ml,1,700, ml,979.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317714_1-nelcon-stainless-steel-fridge-sipper-water-bottle-duke.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317714_1-nelcon-stainless-steel-fridge-sipper-water-bottle-duke.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317714_1-nelcon-stainless-steel-fridge-sipper-water-bottle-duke.jpg'}]"
40172353,"""680678149258""",(Glass Jug/Carafe/Bottle/Pitcher With Red Lid - Bistro)Pasabahce[1.85]{ L}<650>,Pasabahce,1850.0,ml,1,1.85, L,650.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40172353_3-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40172353_3-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40172353_3-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40172353-2_3-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40172353-2_3-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40172353-2_3-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40172353-3_2-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40172353-3_2-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40172353-3_2-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40172353-4_2-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40172353-4_2-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40172353-4_2-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40172353-5_1-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40172353-5_1-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40172353-5_1-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40172353-6_1-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40172353-6_1-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40172353-6_1-pasabahce-glass-jugcarafebottlepitcher-with-red-lid-bistro-concept-2.jpg'}]"
40300036,"""40300036""","(Frost Stainless Steel Water Bottle With Steel Cap - Metallic Maroon, Leak Proof)bb home[1]{ L}<495>",bb home,1000.0,ml,1,1, L,495.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40300036_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300036_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300036_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300036-2_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300036-2_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300036-2_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300036-3_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300036-3_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300036-3_2-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300036-4_1-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300036-4_1-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300036-4_1-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40300036-5_1-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300036-5_1-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300036-5_1-bb-home-frost-stainless-steel-water-bottle-with-steel-cap-metallic-maroon.jpg'}]"
40249386,"""40249386""",(Invent Single Walled Stainless Steel Fridge Water Bottle - Silver)Signoraware[750]{ ml}<385>,Signoraware,750.0,ml,1,750, ml,385.0,"Kitchen, Garden & Pets",Storage & Accessories,Water & Fridge Bottles,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40249386_2-signoraware-invent-single-walled-stainless-steel-water-bottle-premium-strong-durable-silver.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40249386_2-signoraware-invent-single-walled-stainless-steel-water-bottle-premium-strong-durable-silver.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40249386_2-signoraware-invent-single-walled-stainless-steel-water-bottle-premium-strong-durable-silver.jpg'}]"
