Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40317555,"""40317555""",(Organic Fertilizer)Go Green[1]{ kg}<99>,Go Green,1000.0,g,1,1, kg,99.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317555_1-go-green-organic-fertilizer.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317555_1-go-green-organic-fertilizer.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317555_1-go-green-organic-fertilizer.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317555-2_1-go-green-organic-fertilizer.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317555-2_1-go-green-organic-fertilizer.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317555-2_1-go-green-organic-fertilizer.jpg'}]"
40317553,"""40317553""",(Vermi Compost)Go Green[1]{ kg}<99>,Go Green,1000.0,g,1,1, kg,99.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317553_1-go-green-vermi-compost.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317553_1-go-green-vermi-compost.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317553_1-go-green-vermi-compost.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317553-2_1-go-green-vermi-compost.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317553-2_1-go-green-vermi-compost.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317553-2_1-go-green-vermi-compost.jpg'}]"
40317557,"""40317557""",(Neem Cake Powder)Go Green[1]{ kg}<95>,Go Green,1000.0,g,1,1, kg,95.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317557_1-go-green-neem-cake-powder.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317557_1-go-green-neem-cake-powder.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317557_1-go-green-neem-cake-powder.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317557-2_1-go-green-neem-cake-powder.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317557-2_1-go-green-neem-cake-powder.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317557-2_1-go-green-neem-cake-powder.jpg'}]"
40308856,"""40308856""","(Planter/ Pot With Tray, Hand- Painted Ceramic, Vintage Floral Yellow Blue, 25.4 cm, Large Size)bb home Earth[1]{ pc}<1299>",bb home Earth,1.0,pc,1,1, pc,1299.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-2_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-2_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-2_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-3_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-3_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-3_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-4_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-4_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-4_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-5_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-5_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-5_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-6_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-6_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-6_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}]"
40209575,"""40209575""",(Vermi Compost - Organic Manure)NATURES PLUS[5]{ kg}<180>,NATURES PLUS,5000.0,g,1,5, kg,180.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40209575_4-natures-plus-vermi-compost-organic-manure.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40209575_4-natures-plus-vermi-compost-organic-manure.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40209575_4-natures-plus-vermi-compost-organic-manure.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40209575-2_4-natures-plus-vermi-compost-organic-manure.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40209575-2_4-natures-plus-vermi-compost-organic-manure.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40209575-2_4-natures-plus-vermi-compost-organic-manure.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40209575-3_4-natures-plus-vermi-compost-organic-manure.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40209575-3_4-natures-plus-vermi-compost-organic-manure.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40209575-3_4-natures-plus-vermi-compost-organic-manure.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40209575-4_2-natures-plus-vermi-compost-organic-manure.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40209575-4_2-natures-plus-vermi-compost-organic-manure.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40209575-4_2-natures-plus-vermi-compost-organic-manure.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40209575-5_2-natures-plus-vermi-compost-organic-manure.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40209575-5_2-natures-plus-vermi-compost-organic-manure.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40209575-5_2-natures-plus-vermi-compost-organic-manure.jpg'}]"
40198956,"""8908005256168""",(Magic Soil - Multi Purpose Potting Soil)IFFCO Urban Gardens[5]{ Kg}<375>,IFFCO Urban Gardens,5000.0,g,1,5, Kg,375.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40198956_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40198956_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40198956_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40198956-2_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40198956-2_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40198956-2_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40198956-3_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40198956-3_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40198956-3_1-iffco-urban-gardens-magic-soil-multi-purpose-potting-soil.jpg'}]"
40317552,"""40317552""",(Pot Mix)Go Green[5]{ kg}<149>,Go Green,5000.0,g,1,5, kg,149.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317552_1-go-green-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317552_1-go-green-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317552_1-go-green-pot-mix.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317552-2_1-go-green-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317552-2_1-go-green-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317552-2_1-go-green-pot-mix.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317552-3_1-go-green-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317552-3_1-go-green-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317552-3_1-go-green-pot-mix.jpg'}]"
40317554,"""40317554""",(Vermi Compost)Go Green[5]{ kg}<199>,Go Green,5000.0,g,1,5, kg,199.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317554_1-go-green-vermi-compost.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317554_1-go-green-vermi-compost.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317554_1-go-green-vermi-compost.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317554-2_1-go-green-vermi-compost.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317554-2_1-go-green-vermi-compost.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317554-2_1-go-green-vermi-compost.jpg'}]"
40008667,"""8906089730161""",(Pot Mix)NATURES PLUS[5]{ kg}<150>,NATURES PLUS,5000.0,g,1,5, kg,150.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40008667_9-natures-plus-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008667_9-natures-plus-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008667_9-natures-plus-pot-mix.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008667-2_1-natures-plus-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008667-2_1-natures-plus-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008667-2_1-natures-plus-pot-mix.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008667-3_1-natures-plus-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008667-3_1-natures-plus-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008667-3_1-natures-plus-pot-mix.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008667-4_1-natures-plus-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008667-4_1-natures-plus-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008667-4_1-natures-plus-pot-mix.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008667-5_1-natures-plus-pot-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008667-5_1-natures-plus-pot-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008667-5_1-natures-plus-pot-mix.jpg'}]"
40008672,"""8906089730017""",(Organic Fertiliser)NATURES PLUS[5]{ Kg}<270>,NATURES PLUS,5000.0,g,1,5, Kg,270.0,"Kitchen, Garden & Pets",Gardening,Fertilizers & Pesticides,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40008672_5-natures-plus-organic-fertiliser.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008672_5-natures-plus-organic-fertiliser.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008672_5-natures-plus-organic-fertiliser.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008672-2_3-natures-plus-organic-fertiliser.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008672-2_3-natures-plus-organic-fertiliser.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008672-2_3-natures-plus-organic-fertiliser.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008672-3_2-natures-plus-organic-fertiliser.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008672-3_2-natures-plus-organic-fertiliser.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008672-3_2-natures-plus-organic-fertiliser.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008672-4_2-natures-plus-organic-fertiliser.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008672-4_2-natures-plus-organic-fertiliser.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008672-4_2-natures-plus-organic-fertiliser.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40008672-5_1-natures-plus-organic-fertiliser.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40008672-5_1-natures-plus-organic-fertiliser.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40008672-5_1-natures-plus-organic-fertiliser.jpg'}]"
