Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40114223,"""40114223""","(Gas Lighter - Stainless Steel, Long-Lasting)Anjali[1]{ pc}<160>",Anjali,1.0,pc,1,1, pc,160.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40114223_2-anjali-gas-lighter-stainless-steel-super.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114223_2-anjali-gas-lighter-stainless-steel-super.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114223_2-anjali-gas-lighter-stainless-steel-super.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114223-2_1-anjali-gas-lighter-stainless-steel-super.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114223-2_1-anjali-gas-lighter-stainless-steel-super.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114223-2_1-anjali-gas-lighter-stainless-steel-super.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40114223-3_1-anjali-gas-lighter-stainless-steel-super.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40114223-3_1-anjali-gas-lighter-stainless-steel-super.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40114223-3_1-anjali-gas-lighter-stainless-steel-super.jpg'}]"
40163236,"""40163236""","(Stainless Steel Soup/Juice Strainer - Classic, 16 cm)Elephant [1]{ pc}<275>",Elephant ,1.0,pc,1,1, pc,275.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236_3-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236_3-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236_3-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-2_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-2_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-2_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-3_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-3_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-3_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-4_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-4_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-4_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-5_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-5_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-5_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-6_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-6_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-6_2-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163236-7_1-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163236-7_1-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163236-7_1-elephant-stainless-steel-soupjuice-strainer-classic-16-cm.jpg'}]"
40313930,"""40313930""","(Chopping/Cutting Board - Bamboo Wood, 20x28 cm)bb home[1]{ pc}<399>",bb home,1.0,pc,1,1, pc,399.0,"Kitchen, Garden & Pets",Kitchen Accessories,Choppers & Graters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-2_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-2_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-2_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-3_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-3_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-3_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-4_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-4_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-4_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-5_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-5_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-5_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-6_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-6_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-6_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-7_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-7_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-7_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40313930-8_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40313930-8_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40313930-8_1-bb-home-choppingcutting-board-bamboo-wood-20x28-cm.jpg'}]"
40163268,"""8904095201149""",(Stainless Steel Coffee/Tea Strainer - 9 cm)Elephant [1]{ pc}<105>,Elephant ,1.0,pc,1,1, pc,105.0,"Kitchen, Garden & Pets",Kitchen Accessories,"Strainer, Ladle, Spatula",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268_3-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268_3-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268_3-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-2_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-2_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-2_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-3_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-3_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-3_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-4_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-4_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-4_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-5_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-5_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-5_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-6_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-6_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-6_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40163268-7_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40163268-7_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40163268-7_2-elephant-stainless-steel-coffeetea-strainer-9-cm.jpg'}]"
40212023,"""40212023""","(Marble Chakla/Roti Maker, Pol Pat Jointless)Stoneware[1.8]{ kg}<695>",Stoneware,1800.0,g,1,1.8, kg,695.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-2_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-2_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-2_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-3_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-3_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-3_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-4_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-4_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-4_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-5_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-5_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-5_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-6_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-6_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-6_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-7_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-7_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-7_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40212023-8_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40212023-8_1-stoneware-marble-chakla-pol-pat-joint-less.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40212023-8_1-stoneware-marble-chakla-pol-pat-joint-less.jpg'}]"
40117714,"""8906079857982""","(Gas Lighter - Stainless Steel, Size-No .1)Kvg[1]{ pc}<79>",Kvg,1.0,pc,1,1, pc,79.0,"Kitchen, Garden & Pets",Kitchen Accessories,Lighters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40117714_1-kvg-gas-lighter-stainless-steel-size-no-1.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40117714_1-kvg-gas-lighter-stainless-steel-size-no-1.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40117714_1-kvg-gas-lighter-stainless-steel-size-no-1.jpg'}]"
40242388,"""40242388""","(Wooden Chakla/Chapati Maker/Polpat/Cutting Board - 26 Cm Diameter, Multipurpose Kitchen Essential)Petals[1]{ pc}<339>",Petals,1.0,pc,1,1, pc,339.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242388_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242388_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242388_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242388-2_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242388-2_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242388-2_1-petals-wooden-chapati-makercutting-board-26-cm-high-quality-wood-smooth-finish.jpg'}]"
40208110,"""40208110""","(Utensils-Dish Drainer/Basket/Drying Rack - Round, Medium, Stainless Steel, VR10245)HAZEL[1]{ pc}<1999>",HAZEL,1.0,pc,1,1, pc,1999.0,"Kitchen, Garden & Pets",Kitchen Accessories,Kitchen Tools & Other Accessories,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-2_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-2_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-2_2-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-3_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-3_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-3_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-4_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-4_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-4_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40208110-5_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40208110-5_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40208110-5_1-hazel-utensils-dish-drainerbasketdrying-rack-round-medium-stainless-steel-vr10245.jpg'}]"
40165656,"""40165656""","(Mini Fruit & Vegetable Chopper With 3 Blades - Plastic, Green, Durable, Multiutility)Pigeon by Stovekraft[400]{ ml}<545>",Pigeon by Stovekraft,400.0,ml,1,400, ml,545.0,"Kitchen, Garden & Pets",Kitchen Accessories,Choppers & Graters,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656_11-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656_11-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656_11-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656-2_7-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656-2_7-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656-2_7-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656-3_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656-3_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656-3_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656-4_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656-4_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656-4_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656-5_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656-5_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656-5_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656-6_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656-6_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656-6_5-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40165656-7_3-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40165656-7_3-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40165656-7_3-pigeon-by-stovekraft-mini-chopper-fruits-vegetable-with-3-blades-plastic-green.jpg'}]"
40242365,"""40242365""","(Stainless Steel Kitchen Vegetable/Fruit Y Shaped Peeler, Kitchen Essential)Petals[1]{ pc}<179>",Petals,1.0,pc,1,1, pc,179.0,"Kitchen, Garden & Pets",Kitchen Accessories,Knives & Peelers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242365_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242365_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242365_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242365-2_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242365-2_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242365-2_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40242365-3_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242365-3_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242365-3_4-petals-stainless-steel-kitchen-vegetablefruit-y-shaped-peeler-highly-polished-finish-sturdy.jpg'}]"
